,grad_norm,n_reused,walltimes,generations,workertimes,param_norm,n_rejected,unp_rank,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
0,0.28371426,0,6.247390508651733,0,5.418192386627197,14.137012,0,58,-2.7035953998565674,-2.703505039215088,0.05,-5.9914646,1.0,-2.9275078773498535,-2.4713997840881348,-2.7036707401275635,0.00885072723031044,-270.3670654296875,-2.7178173,-2.7082746,1000,1000,1000.0,0.0,100000,1000,10000.0,0,0,0.0,0.0,0,0,0.0
1,0.28480858,0,9.92036771774292,1,3.0710959434509277,14.117449,0,70,-2.674386501312256,-2.674358367919922,0.05,-5.9914646,1.0,-2.9217422008514404,-2.4409966468811035,-2.6744823455810547,0.009188939817249775,-267.4482421875,-2.7166626,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
2,0.28197914,0,13.423938035964966,2,2.902381181716919,14.096785,0,47,-2.6578283309936523,-2.6578526496887207,0.05,-5.9914646,1.0,-2.9092066287994385,-2.391937017440796,-2.657815456390381,0.010724647901952267,-265.78155517578125,-2.6514704,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
3,0.28507465,0,17.26767086982727,3,3.2355573177337646,14.080784,0,41,-2.610180377960205,-2.610529899597168,0.05,-5.9914646,1.0,-2.8859288692474365,-2.4186244010925293,-2.609950065612793,0.011091015301644802,-260.9949951171875,-2.5745463,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
4,0.28511468,0,20.971747398376465,4,3.105243444442749,14.068063,0,12,-2.5607893466949463,-2.5606653690338135,0.05,-5.9914646,1.0,-2.802746295928955,-2.2860753536224365,-2.5609447956085205,0.009598077274858952,-256.094482421875,-2.447267,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
5,0.28390214,0,24.677589416503906,5,3.0966169834136963,14.062896,0,9,-2.5348775386810303,-2.5350184440612793,0.05,-5.9914646,1.0,-2.819347858428955,-2.2960128784179688,-2.5348596572875977,0.010557761415839195,-253.48597717285156,-2.3847234,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
6,0.27599537,0,28.289143800735474,6,3.015293598175049,14.064806,0,4,-2.466089963912964,-2.466066598892212,0.05,-5.9914646,1.0,-2.6963694095611572,-2.285517930984497,-2.4661340713500977,0.008640152402222157,-246.6134033203125,-2.3069062,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
7,0.28195235,0,32.103400230407715,7,3.2048215866088867,14.073933,0,1,-2.4045870304107666,-2.4045588970184326,0.05,-5.9914646,1.0,-2.633212089538574,-2.194594621658325,-2.404550790786743,0.008714189752936363,-240.455078125,-2.166639,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
8,0.28516802,0,36.02590751647949,8,3.3092424869537354,14.090079,0,1,-2.3545889854431152,-2.3546390533447266,0.05,-5.9914646,1.0,-2.592283248901367,-2.1316771507263184,-2.3544838428497314,0.010249432176351547,-235.44839477539062,-2.0590422,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
9,0.27935737,0,39.680132150650024,9,3.0549685955047607,14.113752,0,1,-2.301983594894409,-2.302150249481201,0.05,-5.9914646,1.0,-2.5456247329711914,-2.139491319656372,-2.301928758621216,0.006598548963665962,-230.19287109375,-2.0116758,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
