,unp_rank,grad_norm,workertimes,n_reused,n_rejected,param_norm,walltimes,generations,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
0,75,0.24154809,5.337027072906494,0,0,14.148062,5.612622976303101,0,0.0,0.0,0.05,-5.9914646,0.05,-2.9275078773498535,-2.4713997840881348,-2.7036707401275635,0.00885072723031044,-270.3670654296875,-2.7633984,-2.7082713,1000,1000,1000.0,0.0,100000,1000,10000.0,0,0,0.0,0.0,0,0,0.0
1,76,0.24231312,3.0397095680236816,0,0,14.1465845,8.838134527206421,1,0.0,0.0,0.05,-5.9914646,0.05,-2.9421510696411133,-2.453420400619507,-2.686910629272461,0.009261208586394787,-268.6910705566406,-2.7427669,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
2,60,0.2430106,3.071320056915283,0,0,14.144643,12.090665102005005,2,0.0,0.0,0.05,-5.9914646,0.05,-2.967383623123169,-2.4145326614379883,-2.6967697143554688,0.010902678593993187,-269.6769714355469,-2.7278132,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
3,65,0.24319698,3.042452096939087,0,0,14.142254,15.309866666793823,3,0.0,0.0,0.05,-5.9914646,0.05,-2.9847872257232666,-2.4860634803771973,-2.689829111099243,0.010582271963357925,-268.98291015625,-2.726711,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
4,72,0.24364507,3.2431154251098633,0,0,14.139371,18.731274604797363,4,0.0,0.0,0.05,-5.9914646,0.05,-2.9151744842529297,-2.416322708129883,-2.686630964279175,0.00963589083403349,-268.6630859375,-2.7499511,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
5,50,0.24268858,3.063500165939331,0,0,14.136216,21.97755765914917,5,0.0,0.0,0.05,-5.9914646,0.05,-2.9709882736206055,-2.4247639179229736,-2.7029736042022705,0.011493564583361149,-270.29736328125,-2.7011242,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
6,43,0.24163619,2.9965593814849854,0,0,14.132594,25.14683747291565,6,0.0,0.0,0.05,-5.9914646,0.05,-2.9305975437164307,-2.4282491207122803,-2.695927143096924,0.009492581710219383,-269.59271240234375,-2.6809394,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
7,50,0.2450176,2.9764416217803955,0,0,14.128563,28.301219701766968,7,0.0,0.0,0.05,-5.9914646,0.05,-2.957277297973633,-2.4095072746276855,-2.683443307876587,0.011725311167538166,-268.3443298339844,-2.6838446,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
8,55,0.24509105,3.206937551498413,0,0,14.124159,31.68636202812195,8,0.0,0.0,0.05,-5.9914646,0.05,-3.0200538635253906,-2.379502534866333,-2.6873409748077393,0.014026403427124023,-268.7341003417969,-2.685393,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
9,34,0.24440455,3.112377643585205,0,0,14.1193075,34.98354911804199,9,0.0,0.0,0.05,-5.9914646,0.05,-2.914414882659912,-2.418609857559204,-2.6816017627716064,0.00999606866389513,-268.1601867675781,-2.6398735,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
10,37,0.24262048,3.066675901412964,0,0,14.114097,38.188849210739136,10,0.0,0.0,0.05,-5.9914646,0.05,-2.8584234714508057,-2.398303747177124,-2.665757179260254,0.009164132177829742,-266.5757141113281,-2.6563115,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
11,49,0.24327035,3.018324851989746,0,0,14.108714,41.37394165992737,11,0.0,0.0,0.05,-5.9914646,0.05,-3.0321919918060303,-2.4647164344787598,-2.6810576915740967,0.013032319955527782,-268.10577392578125,-2.6643772,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
12,56,0.24392153,3.0262906551361084,0,0,14.10322,44.57742500305176,12,0.0,0.0,0.05,-5.9914646,0.05,-2.9282124042510986,-2.3289871215820312,-2.6560094356536865,0.011825304478406906,-265.6009521484375,-2.6699128,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
13,54,0.24349979,3.228233575820923,0,0,14.097622,47.9837691783905,13,0.0,0.0,0.05,-5.9914646,0.05,-2.9315361976623535,-2.4440770149230957,-2.6704397201538086,0.013697686605155468,-267.0439758300781,-2.6668792,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
14,41,0.24237505,3.107442855834961,0,0,14.092025,51.2711284160614,14,0.0,0.0,0.05,-5.9914646,0.05,-3.040567636489868,-2.456759452819824,-2.664339065551758,0.012687277980148792,-266.43389892578125,-2.6272514,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
15,62,0.24285701,3.033158540725708,0,0,14.086275,54.48465180397034,15,0.0,0.0,0.05,-5.9914646,0.05,-2.8597006797790527,-2.4513776302337646,-2.6412415504455566,0.009598375298082829,-264.1241455078125,-2.669374,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
16,31,0.24370012,3.0761911869049072,0,0,14.080424,57.738372802734375,16,0.0,0.0,0.05,-5.9914646,0.05,-2.8837130069732666,-2.413846731185913,-2.644106388092041,0.007478298153728247,-264.41064453125,-2.5993078,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
17,55,0.24330658,3.1543819904327393,0,0,14.07447,61.06963491439819,17,0.0,0.0,0.05,-5.9914646,0.05,-2.917968273162842,-2.4274914264678955,-2.631556510925293,0.010056364350020885,-263.1556396484375,-2.6343591,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
18,21,0.243585,3.031399965286255,0,0,14.068366,64.27924156188965,18,0.0,0.0,0.05,-5.9914646,0.05,-2.9017295837402344,-2.3593859672546387,-2.640817880630493,0.011005444452166557,-264.081787109375,-2.5523932,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
19,35,0.24273106,3.195081949234009,0,0,14.062251,67.64039206504822,19,0.0,0.0,0.05,-5.9914646,0.05,-2.8783631324768066,-2.3146748542785645,-2.625458002090454,0.012556144967675209,-262.5458068847656,-2.5812593,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
20,29,0.24309796,2.9060041904449463,0,0,14.056297,70.71513867378235,20,0.0,0.0,0.05,-5.9914646,0.05,-2.8380606174468994,-2.450368642807007,-2.640610933303833,0.008023188449442387,-264.06109619140625,-2.5967362,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
21,25,0.24220335,2.9681217670440674,0,0,14.0502405,73.86352467536926,21,0.0,0.0,0.05,-5.9914646,0.05,-2.9472758769989014,-2.369935989379883,-2.60847544670105,0.011046003550291061,-260.8475341796875,-2.5410907,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
22,27,0.24286859,3.1941709518432617,0,0,14.044118,77.23331546783447,22,0.0,0.0,0.05,-5.9914646,0.05,-2.9165594577789307,-2.3203303813934326,-2.5994341373443604,0.010780795477330685,-259.94342041015625,-2.549,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
23,47,0.24378641,3.088625907897949,0,0,14.037887,80.49533128738403,23,0.0,0.0,0.05,-5.9914646,0.05,-2.8468430042266846,-2.3821401596069336,-2.610027551651001,0.009998769499361515,-261.00274658203125,-2.5994508,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
24,31,0.24166167,3.011970043182373,0,0,14.031613,83.68341135978699,24,0.0,0.0,0.05,-5.9914646,0.05,-2.8192050457000732,-2.3474862575531006,-2.6026837825775146,0.011661856435239315,-260.26837158203125,-2.5407624,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
25,7,0.24490431,5.937182903289795,0,0,14.0253525,89.80046796798706,25,0.0,0.0,0.05,-5.9914646,0.05,-2.8767199516296387,-2.3836007118225098,-2.5914411544799805,0.008170366287231445,-259.14410400390625,-2.4697971,-2.50071,1000,1000,1000.0,0.0,100000,1000,10000.0,0,0,0.0,0.0,0,0,0.0
26,37,0.24341194,3.1145689487457275,0,0,14.018972,93.09175229072571,26,0.0,0.0,0.05,-5.9914646,0.05,-2.807589292526245,-2.3323233127593994,-2.5707569122314453,0.009032677859067917,-257.07568359375,-2.5261984,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
27,25,0.24459556,3.2209110260009766,0,0,14.012566,96.48689413070679,27,0.0,0.0,0.05,-5.9914646,0.05,-2.8463478088378906,-2.3242580890655518,-2.583585500717163,0.012112254276871681,-258.3585510253906,-2.4899774,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
28,12,0.24342684,3.1253764629364014,0,0,14.006102,99.78612852096558,28,0.0,0.0,0.05,-5.9914646,0.05,-2.8099355697631836,-2.3745856285095215,-2.5796399116516113,0.008802172727882862,-257.9639892578125,-2.4510636,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
29,12,0.24205211,3.1561338901519775,0,0,13.999696,103.15132808685303,29,0.0,0.0,0.05,-5.9914646,0.05,-2.8010056018829346,-2.30989146232605,-2.5771172046661377,0.00828529056161642,-257.71173095703125,-2.4718986,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
30,8,0.24308316,3.1393418312072754,0,0,13.993251,106.46964359283447,30,0.0,0.0,0.05,-5.9914646,0.05,-2.80580997467041,-2.3952603340148926,-2.569793462753296,0.008968286216259003,-256.9793395996094,-2.4284003,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
31,17,0.24199705,3.3783493041992188,0,0,13.986668,110.02678751945496,31,0.0,0.0,0.05,-5.9914646,0.05,-2.836820125579834,-2.3740146160125732,-2.5657777786254883,0.009383170865476131,-256.5777893066406,-2.457248,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
