,unp_rank,n_rejected,walltimes,workertimes,param_norm,grad_norm,n_reused,generations,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,16,0,34.963751554489136,27.227738857269287,32.149513,42.583435,0,0,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,2,0,67.48442506790161,27.67416739463806,32.397945,42.546974,0,1,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,43.8,3693.5600000000013,4380.0,180.0,,410,1000,936.1,14362.93,93610,1000,
2,4,0,99.92116189002991,27.279090404510498,32.902706,42.551678,0,2,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,58.6,3594.0400000000013,5860.0,160.0,,573,1000,932.36,13811.370399999996,93236,1000,
3,4,0,131.7780134677887,26.74723482131958,33.698727,42.564156,0,3,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,56.8,4093.759999999999,5680.0,160.0,,597,1000,926.38,13909.855599999999,92638,982,
4,5,0,164.5386188030243,27.71949577331543,34.797012,42.515903,0,4,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,58.0,3484.0,5800.0,160.0,,610,1000,928.55,12514.867500000002,92855,965,
5,5,0,197.15978384017944,27.45974111557007,36.1869,42.54485,0,5,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,70.4,4491.839999999999,7040.0,160.0,,390,1000,929.18,14566.627600000002,92918,965,
6,4,0,229.6134569644928,27.510870218276978,37.84396,42.574345,0,6,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,80.4,4583.839999999999,8040.0,160.0,,479,1000,924.56,15570.8664,92456,978,
7,11,0,262.34835958480835,27.727471113204956,39.73016,42.551857,0,7,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,94.2,5418.36,9420.0,160.0,,484,1000,934.06,16365.9364,93406,995,
8,12,0,295.21107029914856,27.727820873260498,41.805744,42.541195,0,8,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,111.4,4130.040000000001,11140.0,160.0,,555,1000,929.64,12068.970400000002,92964,978,
9,6,0,327.87588357925415,27.619340181350708,44.03608,42.511242,0,9,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,113.6,3711.04,11360.0,160.0,,633,1000,930.59,10218.7419,93059,975,
10,11,0,361.7709619998932,28.85498356819153,46.385178,42.57412,0,10,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,133.2,3353.7599999999993,13320.0,160.0,,437,1000,943.78,11566.491600000001,94378,990,
11,8,0,394.7408039569855,27.980433225631714,48.82551,42.5698,0,11,0.0,0.0,0.05,-5.9914646,0.05,0.0,180.0,134.6,2294.84,13460.0,160.0,,607,1000,945.36,7920.2704,94536,983,
12,7,0,428.6263015270233,28.819751739501953,51.329197,42.566376,0,12,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,143.2,1653.7599999999993,14320.0,160.0,,740,1000,970.36,3346.8504000000003,97036,986,
13,6,0,461.96123600006104,28.307678937911987,53.876637,42.543503,0,13,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,142.2,1967.16,14220.0,160.0,,700,1000,962.82,3939.4275999999995,96282,979,
14,6,0,496.1836543083191,29.265101671218872,56.44948,42.540195,0,14,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,145.8,1578.3600000000004,14580.0,160.0,,735,1000,972.68,2076.2976,97268,979,
15,6,0,530.0311093330383,28.877684354782104,59.03479,42.602253,0,15,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,151.4,1338.0399999999997,15140.0,160.0,,622,1000,971.91,2613.5818999999997,97191,992,
16,5,0,563.7637639045715,28.67704701423645,61.619896,42.552658,0,16,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,150.0,1196.0,15000.0,160.0,,728,1000,975.27,2298.2571,97527,979,
17,13,0,598.0157308578491,29.285264253616333,64.196655,42.54454,0,17,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,156.6,1128.44,15660.0,160.0,,611,1000,974.64,3087.2904000000003,97464,976,
18,8,0,631.935736656189,28.767011642456055,66.758766,42.56479,0,18,0.0,0.0,0.05,-5.9914646,0.05,60.0,220.0,156.4,475.04,15640.0,160.0,,648,1000,971.99,2384.9699,97199,984,
19,5,0,666.1438584327698,28.939416885375977,69.304085,42.53453,0,19,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,147.8,1367.16,14780.0,160.0,,701,1000,971.28,2581.6616,97128,971,
20,5,0,700.0242695808411,28.842238903045654,71.8271,42.576523,0,20,0.0,0.0,0.05,-5.9914646,0.05,0.0,180.0,150.8,1083.36,15080.0,160.0,,538,1000,969.3,3906.73,96930,969,
21,7,0,733.878901720047,28.909189462661743,74.32578,42.587185,0,21,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,152.6,877.24,15260.0,160.0,,727,1000,973.81,1703.8739,97381,989,
22,6,0,767.7145383358002,28.831934452056885,76.79452,42.590267,0,22,0.0,0.0,0.05,-5.9914646,0.05,0.0,180.0,141.4,1834.0399999999995,14140.0,160.0,,607,1000,968.34,3953.4843999999994,96834,981,
23,9,0,802.0931344032288,29.279716968536377,79.227844,42.535023,0,23,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,141.4,1994.0399999999995,14140.0,160.0,,510,1000,970.77,4380.6771,97077,993,
24,9,0,835.5858025550842,28.48214054107666,81.62932,42.535366,0,24,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,146.8,1449.7599999999993,14680.0,160.0,,435,1000,962.85,7817.8675,96285,979,
25,10,0,869.1016056537628,28.55120277404785,83.99552,42.574394,0,25,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,137.4,2573.2400000000002,13740.0,160.0,,454,1000,967.69,4336.6739,96769,986,
26,9,0,903.1327812671661,29.033320665359497,86.326866,42.574314,0,26,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,132.6,2757.240000000001,13260.0,160.0,,530,1000,959.51,6651.289900000001,95951,1000,
27,71,0,936.5171666145325,28.370076894760132,88.62472,42.56971,0,27,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,136.4,2275.0399999999995,13640.0,140.0,,516,1000,954.86,9451.480399999999,95486,931,
28,74,0,970.9205269813538,29.522640705108643,90.88768,42.55944,0,28,0.0,0.0,0.05,-5.9914646,0.05,0.0,240.0,147.0,1755.0,14700.0,140.0,,748,1000,979.11,2217.0779,97911,957,
29,4,0,1003.9245164394379,27.98592734336853,93.11292,42.584476,0,29,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,127.4,3261.2400000000007,12740.0,180.0,,377,1000,951.92,10948.533599999999,95192,1000,
30,10,0,1037.549736738205,28.45614242553711,95.30098,42.556927,0,30,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,133.6,2775.04,13360.0,160.0,,537,1000,952.95,9151.2675,95295,1000,
31,11,0,1071.2436587810516,28.480865955352783,97.44948,42.541634,0,31,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,137.2,2592.16,13720.0,160.0,,534,1000,960.1,6188.0700000000015,96010,1000,
32,5,0,1105.4746289253235,29.02096724510193,99.56322,42.56512,0,32,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,129.4,3163.64,12940.0,180.0,,694,1000,970.95,4105.8875,97095,1000,
33,17,0,1137.6213219165802,27.032617807388306,101.64402,42.542515,0,33,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,124.0,3872.0,12400.0,160.0,,457,1000,957.05,11370.347500000002,95705,994,
34,15,0,1171.2950856685638,28.580057859420776,103.6943,42.543465,0,34,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,135.0,3491.0,13500.0,160.0,,374,1000,958.07,9791.8851,95807,986,
35,13,0,1203.9106640815735,27.62072467803955,105.71374,42.56472,0,35,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,129.4,3467.64,12940.0,160.0,,483,1000,968.09,6038.9619,96809,978,
36,11,0,1237.647278547287,28.77411651611328,107.70549,42.526463,0,36,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,126.4,2847.04,12640.0,160.0,,554,1000,961.36,6370.0504,96136,979,
37,5,0,1270.8818464279175,27.929328680038452,109.66699,42.543056,0,37,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,127.8,3759.16,12780.0,180.0,,636,1000,957.61,7161.597899999999,95761,1000,
38,4,0,1304.6327946186066,28.700889110565186,111.599594,42.57732,0,38,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,134.0,2740.0,13400.0,180.0,,537,1000,963.21,6867.925899999999,96321,1000,
39,1,0,1337.757300376892,28.11625838279724,113.50084,42.544636,0,39,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,132.6,3077.2400000000007,13260.0,200.0,,496,1000,956.67,8690.8611,95667,1000,
40,6,0,1371.564726114273,28.7979257106781,115.37643,42.527756,0,40,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,136.2,3181.5600000000013,13620.0,180.0,,477,1000,971.99,5453.7299,97199,1000,
41,66,0,1405.42857837677,28.800901174545288,117.22555,42.53233,0,41,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,127.2,4484.16,12720.0,120.0,,543,1000,963.64,6004.5504,96364,921,
42,11,0,1439.6210541725159,29.220577716827393,119.05046,42.59609,0,42,0.0,0.0,0.05,-5.9914646,0.05,0.0,240.0,131.4,3426.0400000000013,13140.0,160.0,,604,1000,955.44,6653.2264000000005,95544,1000,
43,72,0,1472.9619872570038,28.163446187973022,120.84944,42.549583,0,43,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,132.2,2967.160000000001,13220.0,120.0,,627,1000,962.14,5452.060399999999,96214,846,
44,67,0,1506.6710350513458,29.064202308654785,122.62313,42.558437,0,44,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,129.0,4227.0,12900.0,140.0,,631,1000,974.91,3165.3018999999995,97491,841,
45,67,0,1539.8319818973541,28.491880178451538,124.37422,42.558907,0,45,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,137.4,2317.2400000000007,13740.0,140.0,,531,1000,954.11,8801.797900000001,95411,1000,
46,12,0,1573.639531135559,28.798518657684326,126.103195,42.571297,0,46,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,143.6,1947.0399999999995,14360.0,160.0,,722,1000,971.92,2997.2336000000005,97192,1000,
47,12,0,1607.038580417633,28.38859248161316,127.80941,42.588608,0,47,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,143.8,1949.56,14380.0,160.0,,643,1000,969.68,3237.8176000000003,96968,1000,
48,11,0,1640.5897858142853,28.5367271900177,129.49513,42.525925,0,48,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,151.8,776.7600000000003,15180.0,160.0,,746,1000,967.01,3426.1098999999995,96701,1000,
49,72,0,1674.4094326496124,28.810404539108276,131.16006,42.54621,0,49,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,137.0,1971.0,13700.0,120.0,,549,1000,963.87,5549.1131000000005,96387,849,
50,83,0,1708.0617461204529,28.97697114944458,132.80553,42.515247,0,50,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,148.4,1657.44,14840.0,120.0,,642,1000,974.3,3002.9299999999994,97430,837,
51,14,0,1741.518002986908,28.69500184059143,134.42828,42.55838,0,51,0.0,0.0,0.05,-5.9914646,0.05,0.0,240.0,152.4,998.2399999999997,15240.0,160.0,,555,1000,968.44,4862.0264,96844,1000,
52,78,0,1776.0387609004974,29.41434669494629,136.02913,42.564053,0,52,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,146.6,1240.4399999999996,14660.0,120.0,,687,1000,967.11,4274.0979,96711,835,
53,15,0,1810.025766134262,29.34123182296753,137.61255,42.5149,0,53,0.0,0.0,0.05,-5.9914646,0.05,0.0,240.0,155.2,672.9599999999997,15520.0,160.0,,781,1000,980.83,1960.9810999999995,98083,1000,
54,8,0,1843.339838027954,28.28820037841797,139.17567,42.565266,0,54,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,140.0,1656.0,14000.0,160.0,,662,1000,968.05,4340.1475,96805,1000,
