,n_rejected,unp_rank,generations,workertimes,param_norm,walltimes,grad_norm,n_reused,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,0,16,0,27.296269178390503,32.15847,37.273746490478516,45.31386,0,47.799686431884766,0.0,0.05,-5.9914646,0.05,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,0,1,1,28.146814584732056,32.43439,72.31881046295166,43.749794,0,42.99324417114258,0.0,0.05,-5.9914646,0.05,0.0,180.0,43.0,3603.0,4300.0,180.0,,410,1000,933.09,15182.781899999996,93309,1000,
2,0,1,2,26.767756462097168,33.00634,106.21420955657959,49.857395,0,60.597774505615234,0.0,0.05,-5.9914646,0.05,0.0,180.0,60.6,3603.64,6060.0,180.0,,650,1000,927.92,13501.553600000003,92792,1000,
3,0,2,3,26.72502088546753,33.94239,140.0475001335144,49.31542,0,56.614479064941406,0.0,0.05,-5.9914646,0.05,0.0,200.0,56.6,3776.44,5660.0,160.0,,556,1000,931.84,13549.914400000003,93184,993,
4,0,3,4,27.42915368080139,35.262024,174.55354285240173,49.898075,0,60.79426574707031,0.0,0.05,-5.9914646,0.05,0.0,220.0,60.8,3599.36,6080.0,160.0,,657,1000,930.6,12530.760000000002,93060,985,
5,0,3,5,26.76792001724243,36.9555,208.39214634895325,49.85551,0,68.40164184570312,0.0,0.05,-5.9914646,0.05,0.0,200.0,68.4,4145.44,6840.0,160.0,,458,1000,913.49,17567.669899999997,91349,965,
6,0,5,6,27.457541465759277,38.989597,243.19605040550232,49.879852,0,77.40684509277344,0.0,0.05,-5.9914646,0.05,0.0,220.0,77.4,4165.240000000001,7740.0,160.0,,401,1000,920.27,16263.777100000001,92027,979,
7,0,5,7,26.875028610229492,41.30433,277.29135155677795,46.684338,0,84.00068664550781,0.0,0.05,-5.9914646,0.05,0.0,200.0,84.0,4712.0,8400.0,160.0,,523,1000,927.5,13201.53,92750,980,
8,0,9,8,27.07821822166443,43.847122,311.5616023540497,49.880726,0,95.19624328613281,0.0,0.05,-5.9914646,0.05,0.0,220.0,95.2,4176.96,9520.0,160.0,,597,1000,912.43,14996.285100000001,91243,977,
9,0,9,9,27.61640191078186,46.571095,346.30956268310547,49.91822,0,102.00627136230469,0.0,0.05,-5.9914646,0.05,0.0,220.0,102.0,4580.0,10200.0,160.0,,388,1000,919.9,17360.47,91990,963,
10,0,9,10,26.746879816055298,49.43528,380.5599880218506,49.859493,0,121.80281066894531,0.0,0.05,-5.9914646,0.05,0.0,200.0,121.8,3008.76,12180.0,160.0,,492,1000,921.65,11245.367500000002,92165,990,
11,0,12,11,28.254328727722168,52.403305,415.9205241203308,49.850273,0,130.39239501953125,0.0,0.05,-5.9914646,0.05,0.0,220.0,130.4,2971.839999999999,13040.0,160.0,,493,1000,950.89,8865.077899999998,95089,988,
12,0,6,12,27.502994298934937,55.441586,450.5752568244934,49.85961,0,138.79200744628906,0.0,0.05,-5.9914646,0.05,0.0,200.0,138.8,1950.56,13880.0,160.0,,734,1000,956.29,5925.6259,95629,982,
13,0,5,13,28.623621225357056,58.52988,486.2650179862976,49.840897,0,144.4034423828125,0.0,0.05,-5.9914646,0.05,0.0,200.0,144.4,1132.64,14440.0,160.0,,636,1000,947.74,8457.152399999999,94774,978,
14,0,7,14,28.472760438919067,61.650463,521.9636704921722,49.864845,0,143.40052795410156,0.0,0.05,-5.9914646,0.05,0.0,220.0,143.4,1696.44,14340.0,160.0,,620,1000,949.19,8206.9939,94919,979,
15,0,7,15,28.505889415740967,64.78459,557.6011953353882,49.83835,0,145.3949737548828,0.0,0.05,-5.9914646,0.05,0.0,220.0,145.4,1622.84,14540.0,160.0,,562,1000,964.25,5148.1675,96425,994,
16,0,6,16,28.809635877609253,67.9134,593.4742732048035,49.87364,0,148.20053100585938,0.0,0.05,-5.9914646,0.05,0.0,220.0,148.2,1136.7600000000002,14820.0,160.0,,530,1000,955.2,7582.899999999999,95520,967,
17,0,5,17,29.33792781829834,71.02871,629.8439705371857,49.88142,0,151.79580688476562,0.0,0.05,-5.9914646,0.05,0.0,180.0,151.8,856.7600000000003,15180.0,160.0,,654,1000,966.38,3933.6356000000005,96638,979,
18,0,7,18,28.174076795578003,74.122345,665.4542381763458,49.887047,0,148.60169982910156,0.0,0.05,-5.9914646,0.05,0.0,200.0,148.6,1330.0399999999995,14860.0,160.0,,546,1000,965.08,5648.1136,96508,982,
19,0,6,19,28.489387273788452,77.192276,701.286256313324,49.909504,0,142.2008514404297,0.0,0.05,-5.9914646,0.05,0.0,200.0,142.2,1551.16,14220.0,160.0,,640,1000,951.38,7107.9956,95138,975,
20,0,5,20,29.067694902420044,80.23254,737.5479927062988,49.907578,0,149.00440979003906,0.0,0.05,-5.9914646,0.05,0.0,200.0,149.0,915.0,14900.0,160.0,,557,1000,957.88,5941.6856,95788,982,
21,0,8,21,29.015197277069092,83.23578,773.8641667366028,49.918583,0,152.99755859375,0.0,0.05,-5.9914646,0.05,0.0,180.0,153.0,619.0,15300.0,160.0,,647,1000,961.03,4200.969099999999,96103,981,
22,0,8,22,27.847647666931152,86.19962,808.9837756156921,49.84755,0,147.39401245117188,0.0,0.05,-5.9914646,0.05,0.0,220.0,147.4,1245.2399999999998,14740.0,160.0,,478,1000,945.38,9373.815599999998,94538,969,
23,0,9,23,28.18701434135437,89.119705,844.3958156108856,49.857113,0,151.39759826660156,0.0,0.05,-5.9914646,0.05,0.0,220.0,151.4,1226.04,15140.0,160.0,,529,1000,960.72,5375.861599999999,96072,976,
