,param_norm,walltimes,n_reused,unp_rank,n_rejected,grad_norm,workertimes,generations,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,32.15847,39.302581548690796,0,16,0,45.31386,27.303666830062866,0,47.799686431884766,47.80187225341797,0.05,-7.6137047,0.05,0.05,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,32.44227,76.08998703956604,0,1,0,45.602253,27.637027502059937,1,39.99470520019531,39.99204635620117,0.047585517,-7.6137047,0.05,0.05,0.0,180.0,40.0,3248.0,4000.0,180.0,,467,1000,931.71,16091.7659,93171,1000,
2,33.05363,112.69246673583984,0,2,0,55.1878,27.26828384399414,2,60.59673309326172,60.59299850463867,0.04516964,-7.6137047,0.05,0.05,0.0,200.0,60.6,3635.64,6060.0,180.0,,650,1000,930.84,12672.034399999997,93084,1000,
3,34.098244,148.56697130203247,0,4,0,58.000637,26.49843955039978,3,61.812034606933594,61.82083511352539,0.043034162,-7.6137047,0.05,0.05,0.0,180.0,61.8,4120.759999999998,6180.0,160.0,,563,1000,922.61,15021.5179,92261,982,
4,35.64098,184.80800819396973,0,4,0,60.694817,26.92861533164978,4,67.39275360107422,67.39032745361328,0.041108925,-7.6137047,0.05,0.05,0.0,180.0,67.4,3781.240000000001,6740.0,160.0,,403,1000,915.13,16061.553100000003,91513,982,
5,37.69403,220.5099139213562,0,9,0,61.756996,26.363586902618408,5,85.39378356933594,85.39217376708984,0.039060395,-7.6137047,0.05,0.05,0.0,200.0,85.4,4526.839999999999,8540.0,160.0,,580,1000,932.45,10941.4275,93245,965,
6,40.250774,256.79890537261963,0,12,0,67.29973,26.96524477005005,6,105.40064239501953,105.4029769897461,0.037076995,-7.6137047,0.05,0.05,0.0,200.0,105.4,3878.839999999999,10540.0,160.0,,591,1000,923.22,13461.731600000001,92322,991,
7,43.28205,294.4691779613495,0,11,0,70.996666,28.212202310562134,7,123.4032211303711,123.40768432617188,0.03513207,-7.6137047,0.05,0.05,0.0,220.0,123.4,3648.4399999999996,12340.0,160.0,,537,1000,936.79,11345.765899999999,93679,998,
8,46.758186,331.970876455307,0,5,0,74.56519,28.1341872215271,8,132.99497985839844,132.99496459960938,0.033466075,-7.6137047,0.05,0.05,0.0,220.0,133.0,2323.0,13300.0,160.0,,543,1000,939.29,10007.405900000002,93929,979,
9,50.641613,370.18816590309143,0,3,0,78.563034,28.9223051071167,9,139.2030792236328,139.208251953125,0.03173386,-7.6137047,0.05,0.05,0.0,220.0,139.2,2199.36,13920.0,160.0,,735,1000,964.6,2669.5199999999995,96460,963,
