,generations,unp_rank,n_rejected,workertimes,walltimes,grad_norm,param_norm,n_reused,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,0,16,0,26.778608083724976,38.933979511260986,2.2659855,32.12806,0,47.799686431884766,47.80187225341797,0.05,-6.0421844,1.0,1.0,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,1,3,0,27.1551194190979,75.19743919372559,2.1881483,32.346416,0,43.79386901855469,43.78938293457031,0.04987641,-6.0421844,1.0,1.0,0.0,200.0,43.8,3813.5600000000004,4380.0,180.0,,410,1000,937.49,14063.609900000005,93749,1000,
2,2,1,0,28.164368152618408,112.67370891571045,2.4935818,32.8386,0,59.59785079956055,59.59724426269531,0.04974938,-6.0421844,1.0,1.0,0.0,180.0,59.6,3559.84,5960.0,180.0,,630,1000,933.37,12780.553099999997,93337,1000,
3,3,5,0,26.238006830215454,148.43440651893616,2.3605635,33.668312,0,55.215118408203125,55.2254638671875,0.04963665,-6.0421844,1.0,1.0,0.0,200.0,55.2,4144.959999999999,5520.0,160.0,,558,1000,929.79,14593.725899999996,92979,982,
4,4,6,0,27.043659448623657,185.08935260772705,2.4951723,34.860085,0,59.19118881225586,59.185543060302734,0.049546283,-6.0421844,1.0,1.0,0.0,200.0,59.2,3719.36,5920.0,160.0,,511,1000,918.96,14872.698400000001,91896,977,
5,5,5,0,27.377400875091553,222.20051670074463,2.4941242,36.411537,0,69.80134582519531,69.8069076538086,0.049453713,-6.0421844,1.0,1.0,0.0,200.0,69.8,4107.959999999999,6980.0,160.0,,592,1000,915.97,14132.549099999997,91597,965,
6,6,7,0,26.276009559631348,257.9586389064789,2.495909,38.29305,0,75.60757446289062,75.61851501464844,0.04937811,-6.0421844,1.0,1.0,0.0,220.0,75.6,4060.64,7560.0,160.0,,465,1000,900.52,20166.6696,90052,978,
7,7,8,0,27.34363079071045,294.76828789711,2.3353856,40.449776,0,82.80409240722656,82.81349182128906,0.04932194,-6.0421844,1.0,1.0,0.0,200.0,82.8,4728.16,8280.0,160.0,,444,1000,931.12,14890.205599999996,93112,998,
8,8,9,0,27.686912059783936,331.93412947654724,2.4911358,42.825302,0,99.99003601074219,99.97577667236328,0.049280494,-6.0421844,1.0,1.0,0.0,220.0,100.0,4712.0,10000.0,160.0,,431,1000,927.31,14074.113899999998,92731,977,
9,9,7,0,27.61306095123291,369.08446621894836,2.4939067,45.37163,0,105.39604949951172,105.39970397949219,0.0492305,-6.0421844,1.0,1.0,0.0,220.0,105.4,4590.839999999999,10540.0,160.0,,590,1000,946.62,8782.3556,94662,979,
10,10,7,0,27.968663454055786,407.04495215415955,2.4941852,48.050877,0,123.19681549072266,123.19966888427734,0.04916378,-6.0421844,1.0,1.0,0.0,220.0,123.2,3245.76,12320.0,160.0,,563,1000,939.97,9391.069099999999,93997,986,
11,11,4,0,27.906703233718872,444.3782298564911,2.4944875,50.82914,0,122.60751342773438,122.61051940917969,0.04906865,-6.0421844,1.0,1.0,0.0,180.0,122.6,2733.2400000000007,12260.0,160.0,,635,1000,944.13,8774.1531,94413,983,
12,12,9,0,27.024546146392822,480.8221333026886,2.4962158,53.66903,0,137.4057159423828,137.41282653808594,0.049016923,-6.0421844,1.0,1.0,0.0,220.0,137.4,2445.2400000000007,13740.0,160.0,,639,1000,947.52,8558.569599999999,94752,988,
13,13,7,0,27.796839714050293,518.117504119873,2.4953184,56.545933,0,145.20155334472656,145.2028045654297,0.048983965,-6.0421844,1.0,1.0,20.0,180.0,145.2,1124.9599999999998,14520.0,160.0,,570,1000,952.16,7331.834399999998,95216,979,
