,n_reused,walltimes,generations,unp_rank,param_norm,workertimes,grad_norm,n_rejected,baseline_mu,baseline_sigma,sigma_0,beta_0,sigma_1,beta_1,sigma_2,beta_2,sigma_3,beta_3,sigma_4,beta_4,sigma_5,beta_5,sigma_6,beta_6,sigma_7,beta_7,sigma_8,beta_8,sigma_9,beta_9,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,0,34.47586274147034,0,16,32.149513,26.553338289260864,42.583435,0,0.0,0.0,0.05,-5.782237,0.05,-5.9876366,0.05,-6.1375027,0.05,-6.0021157,0.05,-6.2556252,0.05,-6.001128,0.05,-5.637938,0.05,-5.986127,0.05,-6.101973,0.05,-5.9948683,0.05,0.05,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,0,68.19249558448792,1,2,32.39416,28.502682209014893,41.590027,0,0.0,0.0,0.05060049,-5.782237,0.05000857,-5.9876366,0.049696833,-6.1375027,0.049958877,-6.0021157,0.04943398,-6.2556252,0.04997609,-6.001128,0.051231597,-5.637938,0.050026014,-5.986127,0.049663134,-6.101973,0.049985744,-5.9948683,0.05,0.05,0.0,240.0,45.8,3866.36,4580.0,180.0,,537,1000,937.07,12321.7251,93707,1000,
2,0,100.75658798217773,2,1,32.885986,27.343994140625,40.967052,0,0.0,0.0,0.051128488,-5.782237,0.05001713,-5.9876366,0.04938436,-6.1375027,0.04992417,-6.0021157,0.04889047,-6.2556252,0.04995253,-6.001128,0.052069318,-5.637938,0.050043467,-5.986127,0.049356323,-6.101973,0.049974423,-5.9948683,0.05,0.05,0.0,180.0,58.8,3622.56,5880.0,180.0,,650,1000,939.89,11033.277899999997,93989,1000,
3,0,132.20575737953186,3,4,33.652634,26.04000496864319,40.479816,0,0.0,0.0,0.051612474,-5.782237,0.050026268,-5.9876366,0.04908853,-6.1375027,0.049893957,-6.0021157,0.048394494,-6.2556252,0.049930617,-6.001128,0.05278059,-5.637938,0.05006435,-5.986127,0.04904817,-6.101973,0.049962543,-5.9948683,0.05,0.05,0.0,200.0,53.4,4056.4399999999987,5340.0,160.0,,577,1000,939.5,13113.77,93950,987,
4,0,165.69240999221802,4,4,34.699265,28.125213146209717,39.873077,0,0.0,0.0,0.052051853,-5.782237,0.05003538,-5.9876366,0.048829373,-6.1375027,0.04986581,-6.0021157,0.048063897,-6.2556252,0.049908195,-6.001128,0.053632244,-5.637938,0.050080493,-5.986127,0.04881269,-6.101973,0.049952112,-5.9948683,0.05,0.05,0.0,180.0,59.6,3623.84,5960.0,160.0,,664,1000,931.95,12050.167499999998,93195,985,
5,0,198.67495703697205,5,7,36.01007,27.800894021987915,39.689003,0,0.0,0.0,0.052455783,-5.782237,0.05004483,-5.9876366,0.048540324,-6.1375027,0.049841996,-6.0021157,0.047700904,-6.2556252,0.04988765,-6.001128,0.05396472,-5.637938,0.050095387,-5.986127,0.048576877,-6.101973,0.04994268,-5.9948683,0.05,0.05,0.0,220.0,71.8,4576.759999999998,7180.0,160.0,,583,1000,929.8,13052.280000000002,92980,1000,
6,0,231.03832626342773,6,13,37.555725,27.145654678344727,39.469437,0,0.0,0.0,0.05279257,-5.782237,0.050054446,-5.9876366,0.048315708,-6.1375027,0.049822453,-6.0021157,0.047208115,-6.2556252,0.049869563,-6.001128,0.054303113,-5.637938,0.050106373,-5.986127,0.048392143,-6.101973,0.049934845,-5.9948683,0.05,0.05,0.0,260.0,81.8,5288.76,8180.0,160.0,,496,1000,928.79,15763.605899999999,92879,991,
7,0,261.74158668518066,7,5,39.301567,25.398777961730957,39.308056,0,0.0,0.0,0.05310257,-5.782237,0.050061654,-5.9876366,0.048118487,-6.1375027,0.04980389,-6.0021157,0.046820574,-6.2556252,0.049854226,-6.001128,0.054521333,-5.637938,0.050113734,-5.986127,0.048222814,-6.101973,0.049926892,-5.9948683,0.05,0.05,0.0,220.0,85.6,4624.64,8560.0,160.0,,543,1000,932.33,11986.9011,93233,980,
8,0,294.59881711006165,8,11,41.2095,27.573230504989624,39.071083,0,0.0,0.0,0.053377178,-5.782237,0.050067876,-5.9876366,0.04793601,-6.1375027,0.049789667,-6.0021157,0.046451915,-6.2556252,0.049843222,-6.001128,0.05493599,-5.637938,0.05010518,-5.986127,0.048068836,-6.101973,0.04992282,-5.9948683,0.05,0.05,0.0,240.0,102.0,4028.0,10200.0,160.0,,657,1000,926.1,11628.849999999999,92610,977,
9,0,326.56465101242065,9,5,43.249638,26.7462420463562,38.91934,0,0.0,0.0,0.05365212,-5.782237,0.05007562,-5.9876366,0.047740795,-6.1375027,0.049776457,-6.0021157,0.046143286,-6.2556252,0.0498338,-6.001128,0.05520833,-5.637938,0.050099984,-5.986127,0.047920894,-6.101973,0.04991812,-5.9948683,0.05,0.05,0.0,220.0,109.0,4283.0,10900.0,180.0,,447,1000,922.63,14167.573099999998,92263,1000,
