,n_rejected,n_reused,workertimes,unp_rank,grad_norm,param_norm,walltimes,generations,baseline_mu,baseline_sigma,sigma_0,beta_0,sigma_1,beta_1,sigma_2,beta_2,sigma_3,beta_3,sigma_4,beta_4,sigma_5,beta_5,sigma_6,beta_6,sigma_7,beta_7,sigma_8,beta_8,sigma_9,beta_9,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,0,0,26.887386083602905,16,45.31386,32.15847,39.172170639038086,0,47.799686431884766,47.80187225341797,0.05,-5.777786,0.05,-5.987413,0.05,-6.1579733,0.05,-6.0036054,0.05,-6.2863836,0.05,-6.0008893,0.05,-6.991715,0.05,-5.9975276,0.05,-6.13621,0.05,-5.996869,0.05,0.05,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,0,0,27.273990869522095,1,44.68255,32.438354,75.58765149116516,1,43.59290313720703,43.58808517456055,0.05067155,-5.777786,0.05000578,-5.987413,0.04957689,-6.1579733,0.049950954,-6.0036054,0.04922225,-6.2863836,0.049970824,-6.0008893,0.048519175,-6.991715,0.050030764,-5.9975276,0.0496258,-6.13621,0.049987495,-5.996869,0.05,0.05,0.0,180.0,43.6,3475.0400000000013,4360.0,180.0,,570,1000,934.47,14121.4091,93447,1000,
2,0,0,27.815672397613525,1,53.018227,33.031128,112.93615937232971,2,62.79731750488281,62.79513168334961,0.05126132,-5.777786,0.05001242,-5.987413,0.04913579,-6.1579733,0.049909875,-6.0036054,0.048499897,-6.2863836,0.04994393,-6.0008893,0.046932023,-6.991715,0.050047968,-5.9975276,0.049299978,-6.13621,0.04997653,-5.996869,0.05,0.05,0.0,180.0,62.8,3704.16,6280.0,180.0,,650,1000,936.55,11804.907500000005,93655,1000,
3,0,0,26.86305546760559,6,51.54499,34.017345,149.66794610023499,3,60.01161193847656,60.01838302612305,0.051847547,-5.777786,0.050021723,-5.987413,0.048638877,-6.1579733,0.04987578,-6.0036054,0.04791703,-6.2863836,0.049917635,-6.0008893,0.04565643,-6.991715,0.050059974,-5.9975276,0.04899838,-6.13621,0.04996464,-5.996869,0.05,0.05,0.0,200.0,60.0,4200.0,6000.0,160.0,,522,1000,936.49,13301.8299,93649,987,
4,0,0,27.125096797943115,3,55.864815,35.43503,186.09717321395874,4,61.39529037475586,61.3936882019043,0.052359425,-5.777786,0.05003105,-5.987413,0.048191413,-6.1579733,0.049846135,-6.0036054,0.047526006,-6.2863836,0.049892824,-6.0008893,0.04447257,-6.991715,0.050062526,-5.9975276,0.04873213,-6.13621,0.04995497,-5.996869,0.05,0.05,0.0,220.0,61.4,3434.04,6140.0,160.0,,549,1000,913.06,15664.4564,91306,982,
5,0,0,27.928654193878174,10,57.18792,37.298473,223.3420672416687,5,74.39844512939453,74.4008560180664,0.05281701,-5.777786,0.050042644,-5.987413,0.047822166,-6.1579733,0.049817942,-6.0036054,0.047114383,-6.2863836,0.04986619,-6.0008893,0.043369107,-6.991715,0.050052907,-5.9975276,0.04847977,-6.13621,0.049945395,-5.996869,0.05,0.05,0.0,220.0,74.4,4808.64,7440.0,160.0,,640,1000,928.21,13398.305900000001,92821,974,
6,0,0,26.90215754508972,5,52.772453,39.566784,259.5501103401184,6,80.40632629394531,80.41366577148438,0.053201046,-5.777786,0.050053276,-5.987413,0.047514968,-6.1579733,0.04979533,-6.0036054,0.0466927,-6.2863836,0.049840596,-6.0008893,0.042297885,-6.991715,0.050044317,-5.9975276,0.04826351,-6.13621,0.049937535,-5.996869,0.05,0.05,0.0,200.0,80.4,4039.839999999999,8040.0,160.0,,606,1000,915.72,15281.601600000002,91572,979,
7,0,0,28.154755353927612,10,59.817154,42.189102,296.99298644065857,7,94.80127716064453,94.80503845214844,0.053555526,-5.777786,0.05006248,-5.987413,0.04727814,-6.1579733,0.049777396,-6.0036054,0.0463441,-6.2863836,0.049820043,-6.0008893,0.041429155,-6.991715,0.050041273,-5.9975276,0.04806775,-6.13621,0.049930546,-5.996869,0.05,0.05,0.0,240.0,94.8,4628.959999999999,9480.0,160.0,,618,1000,944.69,10057.6339,94469,980,
8,0,0,26.834769248962402,10,60.969612,45.132317,333.2334978580475,8,98.39022827148438,98.38203430175781,0.053854864,-5.777786,0.050070252,-5.987413,0.047142506,-6.1579733,0.049762964,-6.0036054,0.045925733,-6.2863836,0.049803488,-6.0008893,0.040612407,-6.991715,0.05001909,-5.9975276,0.04781946,-6.13621,0.049926642,-5.996869,0.05,0.05,0.0,220.0,98.4,4645.439999999999,9840.0,160.0,,446,1000,934.91,13602.8619,93491,977,
9,0,0,27.891841173171997,10,63.191418,48.354427,370.62462735176086,9,119.20950317382812,119.2203598022461,0.054115154,-5.777786,0.05007751,-5.987413,0.046846658,-6.1579733,0.049751032,-6.0036054,0.045480873,-6.2863836,0.049788244,-6.0008893,0.039173644,-6.991715,0.049997866,-5.9975276,0.04764204,-6.13621,0.049921535,-5.996869,0.05,0.05,0.0,220.0,119.2,3735.36,11920.0,160.0,,723,1000,952.58,6262.323600000001,95258,978,
10,0,0,27.371564388275146,6,64.96849,51.818928,407.45081853866577,10,131.5922393798828,131.58567810058594,0.054359127,-5.777786,0.0500844,-5.987413,0.046703275,-6.1579733,0.04974931,-6.0036054,0.045082137,-6.2863836,0.049773395,-6.0008893,0.038044795,-6.991715,0.049981296,-5.9975276,0.04744071,-6.13621,0.04991744,-5.996869,0.05,0.05,0.0,200.0,131.6,2681.44,13160.0,160.0,,489,1000,942.77,9818.777100000001,94277,990,
11,0,0,28.734119176864624,14,67.55791,55.4987,445.51905393600464,11,142.5998077392578,142.59811401367188,0.05457632,-5.777786,0.050088745,-5.987413,0.046632353,-6.1579733,0.049745835,-6.0036054,0.044680517,-6.2863836,0.049761813,-6.0008893,0.036560945,-6.991715,0.0499721,-5.9975276,0.047234684,-6.13621,0.04991218,-5.996869,0.05,0.05,0.0,220.0,142.6,2189.2400000000007,14260.0,160.0,,649,1000,954.19,7230.5939,95419,988,
12,0,0,28.66827130317688,8,69.80399,59.367344,483.5048017501831,12,145.99998474121094,146.0016632080078,0.054812424,-5.777786,0.050092842,-5.987413,0.046580493,-6.1579733,0.049735438,-6.0036054,0.04430577,-6.2863836,0.049757034,-6.0008893,0.03536,-6.991715,0.049968705,-5.9975276,0.04704154,-6.13621,0.049905173,-5.996869,0.05,0.05,0.0,200.0,146.0,1420.0,14600.0,160.0,,525,1000,959.36,6368.3904,95936,982,
