,walltimes,generations,grad_norm,unp_rank,n_rejected,param_norm,n_reused,workertimes,baseline_mu,baseline_sigma,sigma_0,beta_0,sigma_1,beta_1,sigma_2,beta_2,sigma_3,beta_3,sigma_4,beta_4,sigma_5,beta_5,sigma_6,beta_6,sigma_7,beta_7,sigma_8,beta_8,sigma_9,beta_9,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,39.01775622367859,0,2.2659855,16,0,32.083458,0,26.793915510177612,47.799686431884766,47.80187225341797,0.05,-5.9909024,0.05,-5.991454,0.05,-5.991802,0.05,-5.9915,0.05,-5.9921603,0.05,-5.9915013,0.05,-5.9933257,0.05,-5.991449,0.05,-5.991673,0.05,-5.9914775,0.05,0.05,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,76.6606068611145,1,2.1575797,15,0,32.081,0,28.2965087890625,42.591556549072266,42.58567810058594,0.050001666,-5.9909024,0.050000012,-5.991454,0.04999894,-5.991802,0.049999878,-5.9915,0.049998045,-5.9921603,0.049999926,-5.9915013,0.049996242,-5.9933257,0.050000068,-5.991449,0.04999906,-5.991673,0.049999963,-5.9914775,0.05,0.05,0.0,200.0,42.6,3805.240000000001,4260.0,140.0,,377,1000,945.25,12847.7675,94525,940,
2,114.97033476829529,2,2.384842,15,0,32.077976,0,28.75438642501831,54.79640197753906,54.794349670410156,0.05000311,-5.9909024,0.050000023,-5.991454,0.049997948,-5.991802,0.04999977,-5.9915,0.049996182,-5.9921603,0.049999855,-5.9915013,0.04999162,-5.9933257,0.05000012,-5.991449,0.049998235,-5.991673,0.049999937,-5.9914775,0.05,0.05,0.0,200.0,54.8,3948.9599999999996,5480.0,140.0,,650,1000,945.57,10820.065099999998,94557,970,
3,150.69210290908813,3,2.1887584,7,0,32.074677,0,26.373273134231567,46.21104431152344,46.21508026123047,0.050004445,-5.9909024,0.050000034,-5.991454,0.049996983,-5.991802,0.049999688,-5.9915,0.04999447,-5.9921603,0.049999785,-5.9915013,0.049987365,-5.9933257,0.050000165,-5.991449,0.04999747,-5.991673,0.049999904,-5.9914775,0.05,0.05,0.0,220.0,46.2,4029.5600000000004,4620.0,160.0,,375,1000,927.57,18281.7051,92757,1000,
4,188.3414707183838,4,2.2423282,11,0,32.071404,0,28.168375968933105,43.59803771972656,43.600372314453125,0.0500056,-5.9909024,0.050000057,-5.991454,0.04999636,-5.991802,0.049999606,-5.9915,0.049993083,-5.9921603,0.049999714,-5.9915013,0.049984243,-5.9933257,0.050000213,-5.991449,0.049996898,-5.991673,0.049999878,-5.9914775,0.05,0.05,0.0,200.0,43.6,3283.0400000000013,4360.0,140.0,,538,1000,936.13,12670.973100000001,93613,940,
5,226.31152772903442,5,2.2671359,8,0,32.068142,0,28.687370538711548,47.59828567504883,47.6012077331543,0.05000658,-5.9909024,0.050000083,-5.991454,0.049995754,-5.991802,0.049999535,-5.9915,0.049991783,-5.9921603,0.04999964,-5.9915013,0.049981583,-5.9933257,0.05000026,-5.991449,0.049996328,-5.991673,0.049999855,-5.9914775,0.05,0.05,0.0,220.0,47.6,3310.240000000001,4760.0,140.0,,646,1000,945.55,9296.447499999998,94555,922,
6,263.8438489437103,6,2.2029967,3,0,32.065186,0,28.204561948776245,45.20286560058594,45.20344543457031,0.050007343,-5.9909024,0.050000105,-5.991454,0.04999504,-5.991802,0.04999947,-5.9915,0.049990475,-5.9921603,0.04999957,-5.9915013,0.049979236,-5.9933257,0.05000031,-5.991449,0.049995862,-5.991673,0.049999833,-5.9914775,0.05,0.05,0.0,180.0,45.2,3228.9599999999996,4520.0,160.0,,337,1000,930.01,17377.629899999996,93001,990,
7,302.2725360393524,7,2.171715,7,0,32.062374,0,28.874987602233887,44.60143280029297,44.60295104980469,0.050008044,-5.9909024,0.05000013,-5.991454,0.049994454,-5.991802,0.049999427,-5.9915,0.049989447,-5.9921603,0.049999498,-5.9915013,0.04997665,-5.9933257,0.050000343,-5.991449,0.049995434,-5.991673,0.049999822,-5.9914775,0.05,0.05,0.0,200.0,44.6,4166.84,4460.0,160.0,,481,1000,951.2,10829.68,95120,1000,
8,339.560754776001,8,2.2045598,4,0,32.05979,0,27.751754999160767,48.60184097290039,48.60297393798828,0.05000876,-5.9909024,0.050000142,-5.991454,0.04999392,-5.991802,0.04999938,-5.9915,0.04998841,-5.9921603,0.04999944,-5.9915013,0.04997483,-5.9933257,0.050000343,-5.991449,0.049995016,-5.991673,0.049999807,-5.9914775,0.05,0.05,0.0,220.0,48.6,3850.0400000000013,4860.0,160.0,,418,1000,927.81,18256.1339,92781,984,
9,376.2231979370117,9,2.2878292,3,0,32.057518,0,27.19740653038025,49.00175094604492,49.000938415527344,0.0500095,-5.9909024,0.050000153,-5.991454,0.04999337,-5.991802,0.04999934,-5.9915,0.049987376,-5.9921603,0.04999939,-5.9915013,0.049972884,-5.9933257,0.050000343,-5.991449,0.04999468,-5.991673,0.049999796,-5.9914775,0.05,0.05,0.0,200.0,49.0,3539.0,4900.0,160.0,,414,1000,916.84,18576.714400000004,91684,979,
10,413.3867893218994,10,2.244863,2,0,32.05573,0,27.749571561813354,44.79456329345703,44.787803649902344,0.050010227,-5.9909024,0.050000165,-5.991454,0.04999281,-5.991802,0.049999308,-5.9915,0.049986552,-5.9921603,0.04999934,-5.9915013,0.049970992,-5.9933257,0.050000355,-5.991449,0.049994383,-5.991673,0.049999785,-5.9914775,0.05,0.05,0.0,220.0,44.8,3496.9599999999987,4480.0,180.0,,498,1000,942.87,12919.213099999999,94287,1000,
11,450.73906564712524,11,2.287414,7,0,32.054348,0,27.814759731292725,50.59995651245117,50.59640884399414,0.050010882,-5.9909024,0.050000176,-5.991454,0.049992476,-5.991802,0.04999927,-5.9915,0.04998561,-5.9921603,0.049999293,-5.9915013,0.049968835,-5.9933257,0.05000038,-5.991449,0.04999422,-5.991673,0.04999977,-5.9914775,0.05,0.05,0.0,200.0,50.6,3963.64,5060.0,160.0,,488,1000,944.59,12182.901900000003,94459,979,
12,487.7258052825928,12,2.2894716,7,0,32.05339,0,27.536548376083374,54.79365921020508,54.78507614135742,0.050011598,-5.9909024,0.050000202,-5.991454,0.04999219,-5.991802,0.049999237,-5.9915,0.049984895,-5.9921603,0.04999926,-5.9915013,0.049966846,-5.9933257,0.05000038,-5.991449,0.049994122,-5.991673,0.04999976,-5.9914775,0.05,0.05,0.0,220.0,54.8,4524.959999999999,5480.0,160.0,,520,1000,927.1,16377.290000000003,92710,989,
13,524.9611191749573,13,2.3348548,19,0,32.052692,0,27.85763645172119,54.00913619995117,54.01374053955078,0.050012264,-5.9909024,0.050000213,-5.991454,0.04999208,-5.991802,0.04999921,-5.9915,0.049984146,-5.9921603,0.049999226,-5.9915013,0.049963772,-5.9933257,0.050000403,-5.991449,0.04999411,-5.991673,0.049999747,-5.9914775,0.05,0.05,0.0,240.0,54.0,4332.0,5400.0,120.0,,552,1000,933.68,13526.297599999998,93368,857,
14,561.5950577259064,14,2.4375863,8,0,32.05229,0,27.52526307106018,59.20366668701172,59.20798873901367,0.050012875,-5.9909024,0.050000224,-5.991454,0.04999189,-5.991802,0.04999919,-5.9915,0.04998367,-5.9921603,0.04999919,-5.9915013,0.049961008,-5.9933257,0.050000418,-5.991449,0.049994193,-5.991673,0.049999736,-5.9914775,0.05,0.05,0.0,220.0,59.2,4207.36,5920.0,160.0,,553,1000,930.99,14958.3099,93099,1000,
15,599.6690676212311,15,2.4631925,5,0,32.052246,0,28.698503732681274,58.59250259399414,58.585147857666016,0.050013352,-5.9909024,0.050000235,-5.991454,0.049991857,-5.991802,0.049999163,-5.9915,0.049983203,-5.9921603,0.04999915,-5.9915013,0.04995921,-5.9933257,0.05000043,-5.991449,0.049994286,-5.991673,0.049999714,-5.9914775,0.05,0.05,0.0,240.0,58.6,4034.0400000000013,5860.0,160.0,,514,1000,941.71,12015.6659,94171,987,
16,636.5753214359283,16,2.4928389,1,0,32.05258,0,27.36779522895813,57.00946044921875,57.01801300048828,0.05001372,-5.9909024,0.05000025,-5.991454,0.04999164,-5.991802,0.04999914,-5.9915,0.049982943,-5.9921603,0.049999118,-5.9915013,0.049955983,-5.9933257,0.05000043,-5.991449,0.04999456,-5.991673,0.049999688,-5.9914775,0.05,0.05,0.0,180.0,57.0,3787.0,5700.0,200.0,,630,1000,930.19,13269.293899999999,93019,1000,
17,674.326340675354,17,2.4127157,1,0,32.053318,0,28.103232622146606,63.792625427246094,63.78886032104492,0.050014056,-5.9908094,0.05000026,-5.991454,0.04999156,-5.9918756,0.049999118,-5.991509,0.049982607,-5.992242,0.04999908,-5.9915147,0.049953494,-5.9943666,0.050000392,-5.9914646,0.04999479,-5.991645,0.049999677,-5.99149,0.05,0.05,0.0,200.0,63.8,4421.560000000001,6380.0,200.0,,548,1000,951.93,8830.9651,95193,1000,
18,712.0526533126831,18,2.1706293,3,0,32.054504,0,28.30319857597351,44.01600646972656,44.0317497253418,0.050014447,-5.9908094,0.050000273,-5.991454,0.04999139,-5.9918756,0.04999908,-5.991509,0.049982384,-5.992242,0.049999043,-5.9915147,0.04995055,-5.9943666,0.05000038,-5.9914646,0.049995016,-5.991645,0.049999665,-5.99149,0.05,0.05,0.0,220.0,44.0,3472.0,4400.0,160.0,,376,1000,943.29,14033.7859,94329,995,
19,748.8569407463074,19,2.2435951,2,0,32.05611,0,27.3219575881958,42.001930236816406,42.004981994628906,0.05001482,-5.9908094,0.050000284,-5.991454,0.049991272,-5.9918756,0.04999906,-5.991509,0.049982216,-5.992242,0.04999901,-5.9915147,0.04994991,-5.9943666,0.050000366,-5.9914646,0.049995206,-5.991645,0.049999654,-5.99149,0.05,0.05,0.0,200.0,42.0,2876.0,4200.0,160.0,,597,1000,924.41,14972.601899999998,92441,980,
20,785.8769037723541,20,2.4931347,3,0,32.058216,0,27.635337352752686,64.00700378417969,64.0136947631836,0.050015237,-5.9908094,0.050000284,-5.991454,0.0499912,-5.9918756,0.049999032,-5.991509,0.04998219,-5.992242,0.049998973,-5.9915147,0.049949635,-5.9943666,0.050000332,-5.9914646,0.049995348,-5.991645,0.04999964,-5.99149,0.05,0.05,0.0,200.0,64.0,4064.0,6400.0,180.0,,628,1000,930.09,13307.801899999995,93009,1000,
21,821.8391454219818,21,2.495525,6,0,32.06057,0,26.576292276382446,65.60134887695312,65.6010513305664,0.050015595,-5.9908094,0.050000284,-5.991454,0.049991332,-5.9918756,0.04999902,-5.991509,0.04998213,-5.992242,0.04999895,-5.9915147,0.04995042,-5.9943666,0.05000031,-5.9914646,0.049995326,-5.991645,0.049999617,-5.99149,0.05,0.05,0.0,240.0,65.6,4504.64,6560.0,160.0,,462,1000,911.82,20023.887600000002,91182,1000,
22,859.066873550415,22,2.463418,3,0,32.06336,0,27.84568691253662,60.79880905151367,60.802188873291016,0.050016,-5.9908094,0.050000284,-5.991454,0.04999137,-5.9918756,0.04999901,-5.991509,0.049982227,-5.992242,0.04999894,-5.9915147,0.049950574,-5.9943666,0.050000284,-5.9914646,0.049995337,-5.991645,0.049999606,-5.99149,0.05,0.05,0.0,220.0,60.8,4231.36,6080.0,180.0,,556,1000,942.2,12236.060000000003,94220,1000,
23,897.3701441287994,23,2.3606865,2,0,32.066425,0,28.757927179336548,62.596168518066406,62.588592529296875,0.05001637,-5.9908094,0.050000273,-5.991454,0.049991224,-5.9918756,0.049998984,-5.991509,0.049982157,-5.992242,0.049998913,-5.9915147,0.049949944,-5.9943666,0.05000026,-5.9914646,0.049995266,-5.991645,0.04999958,-5.99149,0.05,0.05,0.0,220.0,62.6,4725.240000000002,6260.0,200.0,,557,1000,944.32,10512.257600000003,94432,1000,
24,934.5832486152649,24,2.4925642,1,0,32.069855,0,27.80216097831726,66.60147094726562,66.60498809814453,0.050016657,-5.9908094,0.05000026,-5.991454,0.049991284,-5.9918756,0.04999896,-5.991509,0.04998213,-5.992242,0.0499989,-5.9915147,0.049948215,-5.9943666,0.050000235,-5.9914646,0.049995113,-5.991645,0.04999957,-5.99149,0.05,0.05,0.0,200.0,66.6,4448.44,6660.0,200.0,,504,1000,943.33,11095.661100000001,94333,1000,
25,971.5258214473724,25,2.4942057,5,0,32.073658,0,27.397392988204956,64.99249267578125,64.98573303222656,0.05001682,-5.9908094,0.05000026,-5.991454,0.049991213,-5.9918756,0.04999894,-5.991509,0.04998224,-5.992242,0.049998876,-5.9915147,0.04994711,-5.9943666,0.050000202,-5.9914646,0.049994968,-5.991645,0.049999546,-5.99149,0.05,0.05,0.0,180.0,65.0,3987.0,6500.0,160.0,,394,1000,907.45,19667.787500000002,90745,982,
26,1009.5527205467224,26,2.4942577,4,0,32.07793,0,28.361644983291626,63.796165466308594,63.791568756103516,0.05001701,-5.9908094,0.05000026,-5.991454,0.04999139,-5.9918756,0.049998913,-5.991509,0.04998212,-5.992242,0.049998853,-5.9915147,0.0499453,-5.9943666,0.050000202,-5.9914646,0.04999485,-5.991645,0.049999524,-5.99149,0.05,0.05,0.0,220.0,63.8,4221.56,6380.0,160.0,,705,1000,937.69,9762.213900000002,93769,980,
