,unp_rank,param_norm,n_rejected,walltimes,generations,n_reused,workertimes,grad_norm,baseline_mu,baseline_sigma,sigma_0,beta_0,sigma_1,beta_1,sigma_2,beta_2,sigma_3,beta_3,sigma_4,beta_4,sigma_5,beta_5,sigma_6,beta_6,sigma_7,beta_7,sigma_8,beta_8,sigma_9,beta_9,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,16,32.12806,0,39.27878284454346,0,0,26.624698400497437,2.2659855,47.799686431884766,47.80187225341797,0.05,-5.981622,0.05,-5.991238,0.05,-5.998939,0.05,-5.9921775,0.05,-6.007102,0.05,-5.992106,0.05,-6.037336,0.05,-5.9911737,0.05,-5.9981995,0.05,-5.991745,1.0,1.0,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,2,32.346344,0,76.23877739906311,1,0,27.316814184188843,2.1879263,43.593379974365234,43.58882141113281,0.050033364,-5.981622,0.050000284,-5.991238,0.04997876,-5.998939,0.049997542,-5.9921775,0.04996082,-6.007102,0.049998544,-5.992106,0.04992489,-6.037336,0.050001536,-5.9911737,0.04998123,-5.9981995,0.04999938,-5.991745,1.0,1.0,0.0,220.0,43.6,3715.0400000000013,4360.0,180.0,,410,1000,935.55,14171.0275,93555,1000,
2,2,32.837982,0,112.96525430679321,2,0,27.19176936149597,2.493671,61.398433685302734,61.39772415161133,0.050061762,-5.981622,0.050000664,-5.991238,0.04995866,-5.998939,0.049995422,-5.9921775,0.049923122,-6.007102,0.049997173,-5.992106,0.04984314,-6.037336,0.050002657,-5.9911737,0.04996408,-5.9981995,0.04999882,-5.991745,1.0,1.0,0.0,200.0,61.4,3674.04,6140.0,180.0,,639,1000,936.72,12484.581600000001,93672,1000,
3,6,33.66886,0,149.48962903022766,3,0,27.001617193222046,2.3868797,55.21644592285156,55.22663497924805,0.05008922,-5.981622,0.05000113,-5.991238,0.04993812,-5.998939,0.049993586,-5.9921775,0.049891755,-6.007102,0.04999583,-5.992106,0.049775235,-6.037336,0.050003693,-5.9911737,0.049947195,-5.9981995,0.049998246,-5.991745,1.0,1.0,0.0,200.0,55.2,4240.96,5520.0,160.0,,505,1000,926.07,16788.845100000002,92607,987,
4,4,34.865955,0,185.75382232666016,4,0,26.922881841659546,2.4936268,58.191184997558594,58.18623733520508,0.050113663,-5.981622,0.050001573,-5.991238,0.049921203,-5.998939,0.04999194,-5.9921775,0.049867637,-6.007102,0.04999454,-5.992106,0.04972276,-6.037336,0.0500046,-5.9911737,0.049933728,-5.9981995,0.049997758,-5.991745,1.0,1.0,0.0,180.0,58.2,3592.759999999999,5820.0,160.0,,549,1000,920.3,16060.27,92030,985,
5,6,36.42213,0,223.0704402923584,5,0,27.8304705619812,2.4928744,71.39884185791016,71.40190887451172,0.050134912,-5.981622,0.050002072,-5.991238,0.049907923,-5.998939,0.04999045,-5.9921775,0.049842402,-6.007102,0.049993217,-5.992106,0.049671825,-6.037336,0.05000535,-5.9911737,0.049920004,-5.9981995,0.049997292,-5.991745,1.0,1.0,0.0,180.0,71.4,4090.04,7140.0,160.0,,524,1000,913.67,16352.081100000001,91367,965,
6,6,38.30888,0,259.00581669807434,6,0,26.596134901046753,2.4944904,75.20575714111328,75.21380615234375,0.05015039,-5.981622,0.050002515,-5.991238,0.049896393,-5.998939,0.049989212,-5.9921775,0.04981768,-6.007102,0.04999177,-5.992106,0.049635336,-6.037336,0.050006725,-5.9911737,0.049909744,-5.9981995,0.049996875,-5.991745,1.0,1.0,0.0,220.0,75.2,4152.96,7520.0,160.0,,450,1000,911.9,15893.77,91190,991,
7,8,40.47626,0,295.5161108970642,7,0,27.012728214263916,2.4370675,86.20271301269531,86.21248626708984,0.050163943,-5.981622,0.050002918,-5.991238,0.04988701,-5.998939,0.049988177,-5.9921775,0.049797278,-6.007102,0.049990714,-5.992106,0.04959668,-6.037336,0.050007615,-5.9911737,0.04989974,-5.9981995,0.049996328,-5.991745,1.0,1.0,0.0,260.0,86.2,4957.56,8620.0,160.0,,504,1000,929.31,14400.273899999998,92931,987,
8,5,42.869015,0,332.31145787239075,8,0,27.306077003479004,2.49508,93.98593139648438,93.96509552001953,0.050176848,-5.981622,0.050003227,-5.991238,0.049875304,-5.998939,0.049987376,-5.9921775,0.049774345,-6.007102,0.0499899,-5.992106,0.04956032,-6.037336,0.05000763,-5.9911737,0.04988765,-5.9981995,0.04999597,-5.991745,1.0,1.0,0.0,180.0,94.0,3692.0,9400.0,160.0,,524,1000,908.77,13791.297100000002,90877,977,
9,5,45.437263,0,367.9917321205139,9,0,26.191455602645874,2.494878,102.40179443359375,102.40826416015625,0.050189123,-5.981622,0.050003562,-5.991238,0.049863644,-5.998939,0.04998653,-5.9921775,0.049750615,-6.007102,0.049989082,-5.992106,0.049475223,-6.037336,0.050008032,-5.9911737,0.04987646,-5.9981995,0.049995586,-5.991745,1.0,1.0,0.0,200.0,102.4,3978.240000000001,10240.0,160.0,,388,1000,918.85,13255.8675,91885,978,
10,6,48.14086,0,404.7351565361023,10,0,27.10150384902954,2.4957292,119.00200653076172,119.00589752197266,0.050197825,-5.981622,0.05000393,-5.991238,0.04985273,-5.998939,0.049985826,-5.9921775,0.049728535,-6.007102,0.04998827,-5.992106,0.04941759,-6.037336,0.050008617,-5.9911737,0.049865484,-5.9981995,0.049995326,-5.991745,1.0,1.0,0.0,180.0,119.0,3307.0,11900.0,160.0,,466,1000,930.8,11086.979999999998,93080,986,
11,7,50.9405,0,441.7439203262329,11,0,27.62657403945923,2.4943056,119.3982925415039,119.39396667480469,0.05020462,-5.981622,0.05000429,-5.991238,0.049851257,-5.998939,0.04998528,-5.9921775,0.049709488,-6.007102,0.049987365,-5.992106,0.049346287,-6.037336,0.0500093,-5.9911737,0.04985449,-5.9981995,0.04999504,-5.991745,1.0,1.0,0.0,200.0,119.4,3163.64,11940.0,160.0,,541,1000,929.53,12369.529100000002,92953,989,
12,6,53.801178,0,478.7921657562256,12,0,27.70488142967224,2.4916608,128.19381713867188,128.19261169433594,0.05021183,-5.981622,0.050004717,-5.991238,0.049844433,-5.998939,0.049984515,-5.9921775,0.049693655,-6.007102,0.04998679,-5.992106,0.049275298,-6.037336,0.050009213,-5.9911737,0.049846765,-5.9981995,0.049994703,-5.991745,1.0,1.0,0.0,200.0,128.2,2888.76,12820.0,160.0,,573,1000,939.32,10899.9176,93932,974,
13,11,56.696747,0,516.583024263382,13,0,28.216423273086548,2.4936953,144.4036407470703,144.40721130371094,0.05022144,-5.981622,0.050004948,-5.991238,0.04983779,-5.998939,0.049983885,-5.9921775,0.049677107,-6.007102,0.049986374,-5.992106,0.04918064,-6.037336,0.050009143,-5.9911737,0.049842462,-5.9981995,0.049994286,-5.991745,1.0,1.0,0.0,200.0,144.4,1788.6399999999994,14440.0,160.0,,481,1000,947.02,10135.519599999998,94702,974,
14,7,59.60338,0,554.2913687229156,14,0,28.303840398788452,2.4940562,142.00103759765625,142.0009307861328,0.050230328,-5.981622,0.050005246,-5.991238,0.04982527,-5.998939,0.049983263,-5.9921775,0.049656726,-6.007102,0.049985956,-5.992106,0.049078032,-6.037336,0.050008737,-5.9911737,0.049839884,-5.9981995,0.049993977,-5.991745,1.0,1.0,0.0,240.0,142.0,2068.0,14200.0,160.0,,735,1000,959.18,4380.8476,95918,978,
15,5,62.504505,0,592.2019877433777,15,0,28.5251944065094,2.4948757,146.40321350097656,146.4065704345703,0.050236292,-5.981622,0.05000541,-5.991238,0.049821384,-5.998939,0.049982738,-5.9921775,0.049639326,-6.007102,0.049985424,-5.992106,0.048993904,-6.037336,0.050008297,-5.9911737,0.049836356,-5.9981995,0.04999368,-5.991745,1.0,1.0,0.0,220.0,146.4,1407.0399999999997,14640.0,160.0,,480,1000,953.41,8133.781900000002,95341,992,
16,5,65.3828,0,630.1176247596741,16,0,28.517704248428345,2.4930072,146.40374755859375,146.40940856933594,0.050241224,-5.981622,0.050005507,-5.991238,0.049817953,-5.998939,0.049982406,-5.9921775,0.04962483,-6.007102,0.049984753,-5.992106,0.04892193,-6.037336,0.050007544,-5.9911737,0.04983499,-5.9981995,0.049993325,-5.991745,1.0,1.0,0.0,200.0,146.4,1143.0400000000002,14640.0,160.0,,480,1000,957.62,6912.0556,95762,986,
