,walltimes,n_rejected,n_reused,workertimes,generations,param_norm,unp_rank,grad_norm,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,68.9650228023529,0,0,27.26607084274292,0,32.083458,16,2.2659855,47.799686431884766,95.56877899169922,0.050026566,-5.9904022216796875,0.05,-5.991464614868164,0.05,-5.991464614868164,0.05,-5.991464614868164,0.0,3.3037853e-07,0.05,0.05,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,134.92827486991882,0,0,27.22806477546692,1,32.081,15,2.1575797,42.5915641784668,85.16192626953125,0.050026566,-5.9904022216796875,0.049999963,-5.991466045379639,0.050000057,-5.991462230682373,0.05,-5.991464614868164,8.9598275e-09,6.215168e-07,0.05,0.05,0.0,200.0,42.6,3805.240000000001,4260.0,140.0,,377,1000,945.53,12855.849100000003,94553,940,
2,201.55253505706787,0,0,27.554004192352295,2,32.07799,16,2.3846703,55.19582748413086,110.38656616210938,0.050026566,-5.9904022216796875,0.049999926,-5.991467475891113,0.05000012,-5.991459846496582,0.05,-5.991464614868164,1.575787e-08,8.8161283e-07,0.05,0.05,0.0,200.0,55.2,3920.9599999999987,5520.0,140.0,,650,1000,941.3,11295.429999999995,94130,970,
3,266.0562560558319,0,0,24.57837748527527,3,32.07473,6,2.2054214,45.809078216552734,91.6302490234375,0.050026566,-5.9904022216796875,0.04999989,-5.991468906402588,0.050000165,-5.991457939147949,0.05,-5.991464614868164,2.1877614e-08,1.1124868e-06,0.05,0.05,0.0,220.0,45.8,4002.36,4580.0,160.0,,424,1000,922.27,16756.317099999997,92227,995,
4,333.2085106372833,0,0,27.695375680923462,4,32.071407,11,2.22318,43.59688949584961,87.17253875732422,0.050026566,-5.9904022216796875,0.049999867,-5.991469860076904,0.050000213,-5.991456031799316,0.05,-5.991464614868164,2.7358421e-08,1.3158196e-06,0.05,0.05,0.0,180.0,43.6,3339.0400000000004,4360.0,140.0,,538,1000,935.3,13708.270000000002,93530,966,
5,400.5999357700348,0,0,28.384793043136597,5,32.068127,8,2.2444057,42.99589157104492,85.98548126220703,0.050026566,-5.9904022216796875,0.049999844,-5.991470813751221,0.05000025,-5.991454601287842,0.05,-5.991464614868164,3.2857177e-08,1.4923769e-06,0.05,0.05,0.0,180.0,43.0,2899.0,4300.0,140.0,,675,1000,939.29,11304.425899999998,93929,922,
6,467.1334013938904,0,0,27.183263778686523,6,32.065178,10,2.3099165,45.403079986572266,90.756103515625,0.050026566,-5.9904022216796875,0.049999822,-5.991471767425537,0.050000284,-5.991453170776367,0.05,-5.991464614868164,3.7088128e-08,1.6436168e-06,0.05,0.05,0.0,220.0,45.4,3366.839999999999,4540.0,140.0,,502,1000,928.9,15665.33,92890,927,
7,534.4692878723145,0,0,28.398796319961548,7,32.062428,7,2.1462364,44.80250930786133,89.61611938476562,0.050026566,-5.9904022216796875,0.049999807,-5.991472244262695,0.05000032,-5.991451740264893,0.05,-5.991464614868164,4.111847e-08,1.7711977e-06,0.05,0.05,0.0,220.0,44.8,4432.959999999999,4480.0,160.0,,607,1000,956.26,9542.912399999997,95626,1000,
8,601.1155424118042,0,0,27.28449320793152,8,32.059948,7,2.3101494,51.00093460083008,102.061279296875,0.050026566,-5.9904022216796875,0.049999785,-5.991473197937012,0.050000355,-5.991450309753418,0.05,-5.991464614868164,4.4205787e-08,1.8768811e-06,0.05,0.05,0.0,220.0,51.0,4091.0,5100.0,160.0,,456,1000,933.79,14822.325900000002,93379,982,
9,667.7020790576935,0,0,26.71556520462036,9,32.057777,4,2.3111463,51.401573181152344,102.77854919433594,0.050026566,-5.9904022216796875,0.04999976,-5.991474151611328,0.05000038,-5.991449356079102,0.05,-5.991464614868164,4.7011955e-08,1.962625e-06,0.05,0.05,0.0,220.0,51.4,3738.04,5140.0,160.0,,492,1000,926.1,15871.15,92610,1000,
10,734.7336339950562,0,0,27.35650610923767,10,32.0561,5,2.2657037,46.99208068847656,94.02281188964844,0.050026566,-5.9904022216796875,0.049999747,-5.991474628448486,0.050000403,-5.991448402404785,0.05,-5.991464614868164,4.9253355e-08,2.031213e-06,0.05,0.05,0.0,220.0,47.0,3355.0,4700.0,160.0,,514,1000,929.94,15220.476400000001,92994,990,
11,801.8732061386108,0,0,27.646289587020874,11,32.054802,18,2.2865238,48.398075103759766,96.78083801269531,0.050026566,-5.9904022216796875,0.049999736,-5.9914751052856445,0.05000043,-5.991447448730469,0.05,-5.991464614868164,5.0903584e-08,2.0852783e-06,0.05,0.05,0.0,200.0,48.4,3729.4399999999987,4840.0,120.0,,563,1000,935.78,12908.151599999997,93578,867,
12,867.4520530700684,0,0,25.84786605834961,12,32.053963,5,2.3611808,55.19523239135742,110.4095687866211,0.050026566,-5.9904022216796875,0.049999725,-5.991475582122803,0.05000045,-5.991446495056152,0.05,-5.991464614868164,5.2202203e-08,2.1267554e-06,0.05,0.05,0.0,280.0,55.2,4464.959999999999,5520.0,160.0,,429,1000,924.44,16475.0664,92444,979,
13,934.4804804325104,0,0,27.52429223060608,13,32.05337,6,2.4664955,57.808780670166016,115.57502746582031,0.050026566,-5.9904022216796875,0.049999714,-5.991476058959961,0.050000463,-5.991446018218994,0.05,-5.991464614868164,5.3207295e-08,2.1577555e-06,0.05,0.05,0.0,200.0,57.8,4207.16,5780.0,160.0,,572,1000,933.63,13360.213099999995,93363,976,
14,1001.2294902801514,0,0,27.753803968429565,14,32.05316,7,2.3845885,60.201942443847656,120.41432189941406,0.050026566,-5.9904022216796875,0.049999703,-5.991476535797119,0.050000474,-5.991445541381836,0.05,-5.991464614868164,5.3964314e-08,2.1810272e-06,0.05,0.05,0.0,240.0,60.2,4483.96,6020.0,160.0,,641,1000,944.57,10960.205100000003,94457,978,
15,1068.1225390434265,0,0,27.97305130958557,15,32.05332,6,2.4916136,59.592308044433594,119.19107055664062,0.050026566,-5.9904022216796875,0.049999688,-5.991477012634277,0.050000485,-5.991445064544678,0.05,-5.991464614868164,5.4535956e-08,2.1981093e-06,0.05,0.05,0.0,220.0,59.6,4015.8400000000006,5960.0,160.0,,397,1000,936.33,13860.7411,93633,983,
16,1133.9678647518158,0,0,26.329400539398193,16,32.05393,3,2.4665744,56.20681381225586,112.39796447753906,0.050026566,-5.9904022216796875,0.049999677,-5.9914774894714355,0.0500005,-5.9914445877075195,0.05,-5.991464614868164,5.4970243e-08,2.2111449e-06,0.05,0.05,0.0,180.0,56.2,3501.5600000000004,5620.0,160.0,,567,1000,922.43,16011.1651,92243,982,
