,grad_norm,n_reused,unp_rank,walltimes,generations,n_rejected,param_norm,workertimes,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,2.2659855,0,16,69.5878496170044,0,0,32.12806,27.25067925453186,47.799686431884766,95.56877899169922,0.050026566,-5.9904022216796875,0.05,-5.991464614868164,0.05,-5.991464614868164,0.05,-5.991464614868164,0.0,6.0271e-06,1.0,1.0,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,2.1885247,0,2,136.42473936080933,1,0,32.34684,27.42316436767578,43.39262771606445,86.76604461669922,0.050026566,-5.9904022216796875,0.04999925,-5.991494655609131,0.050001238,-5.991415023803711,0.049999986,-5.991465091705322,1.5069027e-07,1.1467663e-05,1.0,1.0,0.0,220.0,43.4,3624.4399999999996,4340.0,180.0,,410,1000,934.74,14157.8324,93474,1000,
2,2.4936082,0,2,203.77234363555908,2,0,32.838963,27.95096230506897,60.19697952270508,120.3873291015625,0.050026566,-5.9904022216796875,0.049998615,-5.991519927978516,0.05000236,-5.99137020111084,0.049999986,-5.991465091705322,2.8669567e-07,1.638705e-05,1.0,1.0,0.0,200.0,60.2,3811.9599999999987,6020.0,180.0,,576,1000,931.53,13686.869099999996,93153,1000,
3,2.360322,0,2,270.1819152832031,3,0,33.67043,26.885915756225586,52.21493911743164,104.45893859863281,0.050026566,-5.9904022216796875,0.04999802,-5.991543769836426,0.05000341,-5.991328239440918,0.049999986,-5.991465091705322,4.0967765e-07,2.084047e-05,1.0,1.0,0.0,200.0,52.2,3623.160000000001,5220.0,160.0,,547,1000,926.13,14626.7131,92613,982,
4,2.495135,0,2,337.5029149055481,4,0,34.86248,27.69236397743225,55.593299865722656,111.14278411865234,0.050026562,-5.9904022216796875,0.049997482,-5.991565227508545,0.050004337,-5.991291046142578,0.049999975,-5.9914655685424805,5.210118e-07,2.487498e-05,1.0,1.0,0.0,180.0,55.6,3228.64,5560.0,160.0,,576,1000,919.05,15438.6675,91905,985,
5,2.4936657,0,7,403.64921021461487,5,0,36.415344,26.411277294158936,74.60199737548828,149.2211151123047,0.05002656,-5.990402698516846,0.049997006,-5.991584300994873,0.05000517,-5.991257667541504,0.049999975,-5.9914655685424805,6.218755e-07,2.8533213e-05,1.0,1.0,0.0,220.0,74.6,4438.839999999999,7460.0,160.0,,559,1000,913.48,15111.3496,91348,974,
6,2.4942334,0,4,469.97239804267883,6,0,38.29699,26.537667512893677,67.60227966308594,135.1641082763672,0.05002656,-5.990402698516846,0.04999659,-5.99160099029541,0.05000591,-5.991228103637695,0.049999975,-5.9914655685424805,7.133308e-07,3.1850435e-05,1.0,1.0,0.0,180.0,67.6,3766.24,6760.0,160.0,,452,1000,899.95,18048.2875,89995,991,
7,2.3603716,0,9,537.1087715625763,7,0,40.45477,27.57074809074402,84.19795227050781,168.39520263671875,0.05002656,-5.990402698516846,0.04999623,-5.991615295410156,0.050006557,-5.991202354431152,0.049999963,-5.991466045379639,7.9626113e-07,3.4870704e-05,1.0,1.0,0.0,220.0,84.2,4818.36,8420.0,160.0,,444,1000,927.08,14448.7136,92708,980,
8,2.4653876,0,8,603.9101855754852,8,0,42.83179,27.232128143310547,92.1935806274414,184.39675903320312,0.05002655,-5.990402698516846,0.049995895,-5.991628646850586,0.050007164,-5.991178035736084,0.049999963,-5.991466045379639,8.717668e-07,3.765612e-05,1.0,1.0,0.0,240.0,92.2,3895.1600000000008,9220.0,160.0,,579,1000,905.11,14624.957900000001,90511,963,
9,2.4945736,0,9,670.8866708278656,9,0,45.37903,26.747541189193726,102.40044403076172,204.73997497558594,0.05002656,-5.990402698516846,0.04999553,-5.99164342880249,0.050007723,-5.991155624389648,0.049999963,-5.991466045379639,9.4140006e-07,4.0277064e-05,1.0,1.0,0.0,220.0,102.4,4506.240000000002,10240.0,160.0,,521,1000,920.72,13961.001600000001,92072,963,
10,2.49483,0,10,738.0138988494873,10,0,48.05695,28.0142924785614,124.80155181884766,249.67640686035156,0.05002656,-5.990402698516846,0.0499951,-5.9916605949401855,0.050008226,-5.991135597229004,0.049999963,-5.991466045379639,1.0069244e-06,4.27981e-05,1.0,1.0,0.0,220.0,124.8,3408.9599999999987,12480.0,160.0,,639,1000,941.63,8854.313099999998,94163,986,
11,2.4949226,0,10,805.244072675705,11,0,50.832806,27.875737190246582,123.40396118164062,246.76036071777344,0.05002656,-5.990402698516846,0.049994767,-5.991673946380615,0.05000864,-5.991118907928467,0.049999963,-5.991466045379639,1.0699495e-06,4.5269288e-05,1.0,1.0,0.0,220.0,123.4,3040.44,12340.0,160.0,,676,1000,937.24,8841.1624,93724,986,
12,2.4927092,0,5,872.3332245349884,12,0,53.66918,27.42559289932251,128.00634765625,256.11865234375,0.05002656,-5.990402698516846,0.049994443,-5.991686820983887,0.050009046,-5.991102695465088,0.049999963,-5.991466045379639,1.1317304e-06,4.7718266e-05,1.0,1.0,0.0,200.0,128.0,2640.0,12800.0,160.0,,559,1000,934.24,11004.0824,93424,979,
13,2.493773,0,10,940.1200892925262,13,0,56.539547,28.1203031539917,135.79666137695312,271.5299072265625,0.050026562,-5.9904022216796875,0.049994063,-5.991702079772949,0.050009478,-5.991085529327393,0.049999963,-5.991466045379639,1.1929548e-06,5.016354e-05,1.0,1.0,0.0,220.0,135.8,2570.3600000000006,13580.0,160.0,,645,1000,951.67,7142.1811,95167,982,
14,2.4972653,0,5,1007.0981521606445,14,0,59.423946,27.618921279907227,138.20240783691406,276.4198913574219,0.050026562,-5.9904022216796875,0.049993716,-5.991715908050537,0.05000974,-5.991075038909912,0.049999963,-5.991466045379639,1.2540856e-06,5.2612446e-05,1.0,1.0,0.0,240.0,138.2,1736.76,13820.0,160.0,,641,1000,931.53,9728.5291,93153,992,
