,unp_rank,grad_norm,n_reused,generations,workertimes,walltimes,param_norm,n_rejected,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,16,42.583435,0,0,27.46889877319336,36.11300802230835,32.149513,0,0.0,0.0,0.050026566,-5.9904022216796875,0.05,-5.991464614868164,0.05,-5.991464614868164,0.05,-5.991464614868164,0.0,0.00011559224,0.05,0.05,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,2,42.540127,0,1,28.893198251724243,71.01452946662903,32.398163,0,0.0,0.0,0.050026875,-5.990389823913574,0.04998784,-5.991950988769531,0.050026722,-5.990396022796631,0.049999736,-5.9914751052856445,2.8898555e-06,0.00021993146,0.05,0.05,0.0,220.0,43.4,3696.4399999999987,4340.0,180.0,,410,1000,935.0,14937.48,93500,1000,
2,1,42.528572,0,2,28.02294921875,105.1391716003418,32.902187,0,0.0,0.0,0.050026998,-5.990385055541992,0.04997663,-5.9923996925354,0.050050914,-5.989428997039795,0.04999951,-5.99148416519165,5.498467e-06,0.00031424177,0.05,0.05,0.0,180.0,57.4,3597.2400000000007,5740.0,180.0,,570,1000,940.44,13063.926400000002,94044,1000,
3,3,42.585392,0,3,26.636462688446045,137.79155731201172,33.696835,0,0.0,0.0,0.05002565,-5.990438938140869,0.04996644,-5.992807388305664,0.050072707,-5.988558292388916,0.049999308,-5.99149227142334,7.85641e-06,0.00039955042,0.05,0.05,0.0,200.0,54.4,4056.639999999999,5440.0,160.0,,535,1000,932.86,14183.1604,93286,987,
4,5,42.55,0,4,27.730762720108032,171.48165798187256,34.79338,0,0.0,0.0,0.05002355,-5.990522861480713,0.04995717,-5.993178367614746,0.050091945,-5.987790107727051,0.049999118,-5.991499900817871,9.989347e-06,0.0004767508,0.05,0.05,0.0,200.0,59.6,3503.84,5960.0,160.0,,558,1000,919.47,15637.589100000001,91947,1000,
5,5,42.563557,0,5,27.25511884689331,205.01525688171387,36.183376,0,0.0,0.0,0.050021626,-5.990599632263184,0.04994887,-5.993510723114014,0.05010909,-5.987105846405029,0.04999895,-5.991506576538086,1.19196e-05,0.00054666866,0.05,0.05,0.0,180.0,70.2,4067.9599999999987,7020.0,160.0,,480,1000,912.96,16233.158399999998,91296,974,
6,8,42.55281,0,6,26.98500895500183,238.02028846740723,37.837505,0,0.0,0.0,0.0500201,-5.990660667419434,0.04994192,-5.993789196014404,0.050125014,-5.9864702224731445,0.04999881,-5.991512298583984,1.3667804e-05,0.0006100223,0.05,0.05,0.0,260.0,82.2,4759.16,8220.0,160.0,,418,1000,921.35,18215.4275,92135,983,
7,10,42.61098,0,7,28.547585487365723,272.4799892902374,39.71766,0,0.0,0.0,0.050018925,-5.990707874298096,0.04993563,-5.9940409660339355,0.050139356,-5.985898017883301,0.049998675,-5.991517543792725,1.52519e-05,0.000667497,0.05,0.05,0.0,220.0,87.0,5203.0,8700.0,160.0,,411,1000,943.04,11597.638399999998,94304,998,
8,8,42.57667,0,8,27.92255926132202,306.3276319503784,41.787575,0,0.0,0.0,0.050017994,-5.9907450675964355,0.049930405,-5.994250297546387,0.050152052,-5.985391616821289,0.049998555,-5.991522312164307,1.6689024e-05,0.0007196759,0.05,0.05,0.0,200.0,101.0,4299.0,10100.0,160.0,,526,1000,932.91,12823.721900000002,93291,977,
9,10,42.603916,0,9,28.193431854248047,340.67375779151917,44.01232,0,0.0,0.0,0.050017226,-5.9907755851745605,0.049925797,-5.994434833526611,0.050163236,-5.984945774078369,0.049998462,-5.991526126861572,1.799374e-05,0.00076710427,0.05,0.05,0.0,220.0,111.8,4368.759999999999,11180.0,160.0,,598,1000,940.24,10847.442399999998,94024,979,
10,12,42.558334,0,10,27.658942699432373,374.40401697158813,46.355732,0,0.0,0.0,0.050016627,-5.990799427032471,0.049921345,-5.994613170623779,0.05017327,-5.984545707702637,0.049998377,-5.99152946472168,1.9179688e-05,0.0008102657,0.05,0.05,0.0,220.0,129.4,3043.64,12940.0,160.0,,500,1000,936.59,11532.8619,93659,970,
11,10,42.588337,0,11,28.176785945892334,408.5656499862671,48.791046,0,0.0,0.0,0.050016124,-5.990819931030273,0.049917765,-5.994756698608398,0.050181873,-5.984202861785889,0.049998295,-5.991532802581787,2.0258947e-05,0.00084956957,0.05,0.05,0.0,200.0,125.2,3188.96,12520.0,160.0,,526,1000,932.62,12898.355599999999,93262,988,
12,5,42.54499,0,12,28.222785234451294,442.7432429790497,51.290577,0,0.0,0.0,0.050015703,-5.9908366203308105,0.049914148,-5.994901657104492,0.050189517,-5.983898162841797,0.049998224,-5.991535663604736,2.1241754e-05,0.0008854226,0.05,0.05,0.0,220.0,132.0,2392.0,13200.0,160.0,,678,1000,948.56,7416.766399999999,94856,988,
13,8,42.537544,0,13,27.47556185722351,476.1643671989441,53.83416,0,0.0,0.0,0.05001533,-5.990851402282715,0.049910385,-5.995052337646484,0.050196197,-5.9836320877075195,0.049998164,-5.991538047790527,2.2138278e-05,0.0009181596,0.05,0.05,0.0,220.0,142.0,1604.0,14200.0,160.0,,561,1000,952.45,7702.007499999999,95245,974,
14,5,42.5358,0,14,28.501890659332275,510.6366534233093,56.406788,0,0.0,0.0,0.05001502,-5.990863800048828,0.049907602,-5.995163917541504,0.05020182,-5.983407974243164,0.0499981,-5.991540431976318,2.2956885e-05,0.00094806956,0.05,0.05,0.0,220.0,130.4,2787.839999999999,13040.0,160.0,,639,1000,957.23,7168.777100000002,95723,992,
15,11,42.54362,0,15,28.61827254295349,545.1698653697968,58.992523,0,0.0,0.0,0.050014745,-5.990874767303467,0.04990533,-5.995254993438721,0.050207265,-5.983191013336182,0.049998056,-5.991542339324951,2.37048e-05,0.0009754627,0.05,0.05,0.0,220.0,143.6,1883.0399999999995,14360.0,160.0,,682,1000,964.33,3897.2410999999997,96433,992,
16,15,42.5934,0,16,28.723774433135986,580.11381483078,61.577915,0,0.0,0.0,0.050014503,-5.990884304046631,0.04990351,-5.995327949523926,0.050212245,-5.982992649078369,0.04999802,-5.991543769836426,2.4389781e-05,0.0010005846,0.05,0.05,0.0,220.0,146.0,1380.0,14600.0,160.0,,659,1000,965.03,4748.949099999999,96503,994,
17,74,42.544277,0,17,28.474734783172607,614.6371698379517,64.15475,0,0.0,0.0,0.050014302,-5.99089241027832,0.049901973,-5.995389461517334,0.05021675,-5.982813358306885,0.04999798,-5.9915452003479,2.501797e-05,0.001023699,0.05,0.05,0.0,220.0,142.4,2482.2400000000007,14240.0,140.0,,381,1000,957.81,9434.373899999999,95781,918,
18,87,42.578793,0,18,28.94571280479431,650.4853065013885,66.71554,0,0.0,0.0,0.050014123,-5.990899562835693,0.04990025,-5.995458602905273,0.050220773,-5.9826531410217285,0.04999796,-5.991546154022217,2.5595955e-05,0.0010449783,0.05,0.05,0.0,220.0,151.0,1019.0,15100.0,120.0,,732,1000,970.6,3550.14,97060,958,
19,70,42.534927,0,19,28.758755683898926,685.4021055698395,69.26025,0,0.0,0.0,0.050013956,-5.990906238555908,0.049898773,-5.995517730712891,0.050224293,-5.982512950897217,0.049997937,-5.991547107696533,2.6128053e-05,0.0010646199,0.05,0.05,0.0,240.0,135.0,3115.0,13500.0,140.0,,588,1000,961.32,6988.4375999999975,96132,850,
20,13,42.543026,0,20,28.666303873062134,719.8672115802765,71.77858,0,0.0,0.0,0.0500138,-5.990912437438965,0.049897477,-5.995569705963135,0.05022805,-5.982363224029541,0.049997915,-5.99154806137085,2.6619195e-05,0.0010827847,0.05,0.05,0.0,220.0,138.0,2324.0,13800.0,160.0,,600,1000,959.76,7105.5824,95976,1000,
21,76,42.550343,0,21,28.729109048843384,754.8051390647888,74.27021,0,0.0,0.0,0.050013676,-5.990917682647705,0.049895655,-5.99564266204834,0.050230853,-5.9822516441345215,0.0499979,-5.991548538208008,2.7073414e-05,0.0010996083,0.05,0.05,0.0,240.0,142.0,2492.0,14200.0,120.0,,717,1000,970.12,3046.3055999999992,97012,856,
22,82,42.533142,0,22,28.542614221572876,788.9999408721924,76.73205,0,0.0,0.0,0.050013546,-5.990922927856445,0.04989381,-5.995716571807861,0.05023338,-5.982151031494141,0.04999789,-5.991549015045166,2.7494085e-05,0.001115254,0.05,0.05,0.0,220.0,143.8,1965.56,14380.0,120.0,,490,1000,964.46,8256.3284,96446,853,
23,5,42.509632,0,23,28.316585302352905,822.9923584461212,79.16093,0,0.0,0.0,0.05001344,-5.990926742553711,0.049892075,-5.995786190032959,0.05023567,-5.982059955596924,0.049997877,-5.991549491882324,2.7885306e-05,0.0011298314,0.05,0.05,0.0,200.0,136.4,2531.0399999999995,13640.0,180.0,,564,1000,953.24,8260.782400000002,95324,1000,
24,22,42.59555,0,24,28.529309034347534,857.4624810218811,81.55771,0,0.0,0.0,0.050013352,-5.990930557250977,0.04989008,-5.995866298675537,0.050237633,-5.9819817543029785,0.049997866,-5.991549968719482,2.8249804e-05,0.0011434456,0.05,0.05,0.0,220.0,145.6,1912.6399999999994,14560.0,160.0,,643,1000,955.44,6795.8464,95544,1000,
25,16,42.570732,0,25,28.11675715446472,891.5612781047821,83.91992,0,0.0,0.0,0.050013267,-5.990933895111084,0.049887888,-5.9959540367126465,0.050239116,-5.981922626495361,0.049997866,-5.991549968719482,2.8590219e-05,0.0011561976,0.05,0.05,0.0,220.0,137.4,2149.24,13740.0,160.0,,494,1000,948.44,8899.326399999998,94844,1000,
26,26,42.52434,0,26,28.932148933410645,926.4488561153412,86.24539,0,0.0,0.0,0.05001318,-5.990937232971191,0.049885772,-5.996038913726807,0.050240424,-5.981870651245117,0.049997866,-5.991549968719482,2.8909073e-05,0.0011681668,0.05,0.05,0.0,240.0,139.2,3007.36,13920.0,160.0,,507,1000,967.51,6169.9699,96751,1000,
27,8,42.538334,0,27,27.6741681098938,960.2734181880951,88.53341,0,0.0,0.0,0.050013103,-5.990940570831299,0.04988351,-5.996129512786865,0.05024125,-5.981837749481201,0.049997866,-5.991549968719482,2.9208348e-05,0.0011794535,0.05,0.05,0.0,200.0,124.6,3518.839999999999,12460.0,160.0,,488,1000,953.81,11197.833899999996,95381,1000,
28,13,42.580067,0,28,27.476635217666626,993.7105166912079,90.78402,0,0.0,0.0,0.050013017,-5.990943908691406,0.049881585,-5.996206760406494,0.05024198,-5.981808662414551,0.049997866,-5.991549968719482,2.9490557e-05,0.0011901116,0.05,0.05,0.0,220.0,141.6,1909.4399999999996,14160.0,160.0,,658,1000,954.6,8031.28,95460,1000,
29,14,42.520218,0,29,28.202226877212524,1027.8506512641907,93.00075,0,0.0,0.0,0.050012957,-5.990946292877197,0.04988043,-5.99625301361084,0.050242532,-5.981786727905273,0.049997866,-5.991549968719482,2.9757048e-05,0.0012002018,0.05,0.05,0.0,240.0,137.0,2067.0,13700.0,160.0,,648,1000,959.92,5896.1736,95992,1000,
30,35,42.549862,0,30,28.646021127700806,1062.463725566864,95.18589,0,0.0,0.0,0.050012898,-5.990948677062988,0.049879458,-5.9962921142578125,0.05024397,-5.981729507446289,0.04999785,-5.991550445556641,3.000933e-05,0.0012097793,0.05,0.05,0.0,220.0,149.8,2603.9600000000005,14980.0,160.0,,492,1000,974.35,6155.8674999999985,97435,1000,
31,8,42.5243,0,31,29.509230375289917,1097.9158248901367,97.337166,0,0.0,0.0,0.050012827,-5.9909515380859375,0.049878053,-5.9963483810424805,0.050245587,-5.981665134429932,0.049997866,-5.991549968719482,3.0248793e-05,0.0012188846,0.05,0.05,0.0,240.0,144.6,2158.8400000000006,14460.0,180.0,,571,1000,970.65,5963.5075,97065,1000,
32,18,42.5585,0,32,28.948705673217773,1132.8391036987305,99.457535,0,0.0,0.0,0.050012767,-5.9909539222717285,0.049876828,-5.996397495269775,0.05024743,-5.981591701507568,0.049997877,-5.991549491882324,3.047645e-05,0.0012275784,0.05,0.05,0.0,240.0,144.8,1712.9600000000005,14480.0,160.0,,612,1000,974.45,5431.987499999999,97445,1000,
33,23,42.590485,0,33,28.8348171710968,1167.626270532608,101.541466,0,0.0,0.0,0.05001271,-5.9909563064575195,0.049876258,-5.996420383453369,0.050249003,-5.981529235839844,0.049997877,-5.991549491882324,3.0693813e-05,0.0012359072,0.05,0.05,0.0,240.0,146.8,1609.7599999999993,14680.0,160.0,,518,1000,964.29,7054.945899999999,96429,1000,
34,17,42.52965,0,34,29.151841640472412,1202.8166856765747,103.59007,0,0.0,0.0,0.050012656,-5.990958213806152,0.04987577,-5.9964399337768555,0.0502502,-5.981481552124023,0.04999789,-5.991549015045166,3.090205e-05,0.0012438961,0.05,0.05,0.0,220.0,150.8,1379.3600000000004,15080.0,160.0,,614,1000,973.85,5486.727500000001,97385,1000,
35,9,42.55417,0,35,29.346409559249878,1238.1753706932068,105.60824,0,0.0,0.0,0.050012596,-5.990960597991943,0.04987552,-5.996449947357178,0.05025093,-5.981452465057373,0.04999789,-5.991549015045166,3.1101783e-05,0.0012515929,0.05,0.05,40.0,240.0,156.8,973.7600000000001,15680.0,180.0,,489,1000,980.41,4875.961899999999,98041,1000,
36,34,42.549023,0,36,29.464595317840576,1274.5341475009918,107.59972,0,0.0,0.0,0.050012544,-5.990962982177734,0.049874652,-5.996484756469727,0.05025141,-5.981433391571045,0.0499979,-5.991548538208008,3.1294214e-05,0.001259009,0.05,0.05,0.0,240.0,160.8,1191.36,16080.0,160.0,,467,1000,989.25,3341.7075,98925,1000,
37,19,42.579243,0,37,29.132153034210205,1309.659866809845,109.561935,0,0.0,0.0,0.050012484,-5.990965366363525,0.04987369,-5.996523380279541,0.05025178,-5.981418609619141,0.049997915,-5.99154806137085,3.1479627e-05,0.0012661739,0.05,0.05,0.0,220.0,144.2,1602.3600000000006,14420.0,160.0,,799,1000,982.35,2416.3675,98235,1000,
