,n_reused,unp_rank,n_rejected,grad_norm,param_norm,workertimes,generations,walltimes,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,0,16,0,42.583435,32.149513,26.93255853652954,0,34.63611102104187,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,0,2,0,42.540443,32.398228,27.82809352874756,1,67.3091459274292,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,43.6,3739.0400000000013,4360.0,180.0,,410,1000,935.83,15007.941100000002,93583,1000,
2,0,1,0,42.57198,32.9026,27.462759494781494,2,99.8839783668518,0.0,0.0,0.05,-5.9914646,0.05,0.0,180.0,59.6,3775.84,5960.0,180.0,,581,1000,940.2,12235.020000000004,94020,1000,
3,0,5,0,42.5406,33.69789,25.655973434448242,3,130.71911144256592,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,53.6,3767.0400000000013,5360.0,160.0,,569,1000,929.7,13802.47,92970,993,
4,0,3,0,42.53886,34.795414,27.592057466506958,4,163.3483247756958,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,59.8,3459.96,5980.0,160.0,,584,1000,926.2,13772.059999999998,92620,1000,
5,0,8,0,42.61247,36.185165,26.728875160217285,5,195.1407642364502,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,71.4,4418.040000000001,7140.0,160.0,,528,1000,916.27,17271.2371,91627,965,
6,0,5,0,42.583015,37.84086,25.775883197784424,6,226.03402137756348,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,69.4,4211.639999999999,6940.0,160.0,,384,1000,895.25,22826.8275,89525,983,
7,0,6,0,42.549675,39.72578,27.180181741714478,7,258.28817653656006,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,83.6,4491.040000000001,8360.0,160.0,,514,1000,916.83,15563.101100000005,91683,987,
8,0,7,0,42.55966,41.80066,26.826743125915527,8,290.137104511261,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,98.4,4101.44,9840.0,160.0,,373,1000,911.43,18406.725099999996,91143,979,
9,0,6,0,42.56118,44.02928,27.802839279174805,9,322.9459059238434,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,111.4,3930.04,11140.0,160.0,,536,1000,929.89,11870.9179,92989,979,
10,0,15,0,42.52472,46.3771,27.887794733047485,10,355.87409567832947,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,132.4,3070.2400000000007,13240.0,160.0,,633,1000,946.93,7880.1651,94693,990,
11,0,14,0,42.51822,48.81487,28.838398218154907,11,389.74128580093384,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,129.4,2995.64,12940.0,160.0,,688,1000,949.3,8505.990000000002,94930,989,
12,0,6,0,42.569508,51.315804,28.875131368637085,12,423.6976156234741,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,135.2,2040.9600000000005,13520.0,160.0,,735,1000,957.79,5398.505899999998,95779,988,
13,0,81,0,42.578835,53.86309,29.553937435150146,13,458.24147391319275,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,148.2,1312.7600000000002,14820.0,140.0,,735,1000,967.72,3452.1216,96772,950,
14,0,77,0,42.538506,56.436638,29.01847243309021,14,492.3393518924713,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,146.2,1357.56,14620.0,140.0,,732,1000,963.05,4250.727500000001,96305,948,
15,0,7,0,42.56234,59.024582,29.12843918800354,15,526.4903094768524,0.0,0.0,0.05,-5.9914646,0.05,20.0,200.0,150.8,843.3599999999997,15080.0,160.0,,729,1000,972.62,2998.3756000000008,97262,1000,
16,0,8,0,42.56082,61.61749,28.608863353729248,16,560.1921763420105,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,149.2,1299.3599999999997,14920.0,160.0,,728,1000,968.19,3805.5538999999994,96819,979,
17,0,5,0,42.54551,64.20253,29.750699520111084,17,594.997287273407,0.0,0.0,0.05,-5.9914646,0.05,0.0,180.0,151.2,930.56,15120.0,160.0,,804,1000,972.89,1335.7178999999999,97289,979,
18,0,11,0,42.539013,66.77084,28.99122428894043,18,629.1266176700592,0.0,0.0,0.05,-5.9914646,0.05,80.0,240.0,159.6,303.84,15960.0,160.0,,757,1000,978.01,1153.8298999999997,97801,996,
19,0,4,0,42.548737,69.31957,29.144686698913574,19,663.6716015338898,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,150.4,867.8400000000001,15040.0,160.0,,727,1000,969.58,3099.4836000000005,96958,978,
20,0,7,0,42.53697,71.84366,28.911718606948853,20,697.5801484584808,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,144.8,1864.9600000000005,14480.0,160.0,,725,1000,965.93,3382.805099999999,96593,982,
21,0,11,0,42.57405,74.338425,29.05539083480835,21,731.7184715270996,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,157.4,661.2399999999997,15740.0,160.0,,771,1000,973.2,1421.84,97320,981,
22,0,6,0,42.54738,76.79959,28.688103675842285,22,765.47150182724,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,148.2,1312.7600000000002,14820.0,160.0,,457,1000,963.32,5751.017600000001,96332,993,
23,0,2,0,42.542004,79.22547,29.542765140533447,23,800.3773560523987,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,150.8,963.3599999999999,15080.0,180.0,,737,1000,974.18,1832.8676000000005,97418,1000,
24,0,5,0,42.536594,81.61994,28.51163339614868,24,833.9865741729736,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,150.4,1267.8400000000001,15040.0,180.0,,575,1000,969.2,4283.700000000001,96920,1000,
25,0,1,0,42.587135,83.98178,27.85790252685547,25,867.1003713607788,0.0,0.0,0.05,-5.9914646,0.05,0.0,180.0,149.2,1099.36,14920.0,200.0,,642,1000,957.77,5833.597100000001,95777,1000,
26,0,9,0,42.536045,86.30924,28.07756996154785,26,900.2046120166779,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,145.0,1499.0,14500.0,160.0,,550,1000,955.71,7476.465900000001,95571,982,
27,0,10,0,42.528618,88.59774,27.55848503112793,27,932.7211327552795,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,140.6,2059.6399999999994,14060.0,160.0,,573,1000,948.92,8474.9736,94892,979,
28,0,5,0,42.582706,90.85178,28.188417196273804,28,965.8707537651062,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,145.0,1555.0,14500.0,160.0,,693,1000,964.81,4350.713899999999,96481,992,
29,0,7,0,42.5997,93.07308,28.43774390220642,29,999.5964999198914,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,132.8,2180.16,13280.0,160.0,,734,1000,954.13,5859.173099999999,95413,1000,
30,0,9,0,42.56328,95.25745,27.93488335609436,30,1032.7890076637268,0.0,0.0,0.05,-5.9914646,0.05,0.0,180.0,136.0,2024.0,13600.0,160.0,,631,1000,945.82,8129.3876,94582,980,
31,0,10,0,42.52055,97.408485,28.929805994033813,31,1066.826758146286,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,147.4,1221.2399999999998,14740.0,160.0,,706,1000,961.44,4741.2264000000005,96144,995,
32,0,7,0,42.554382,99.524506,28.81897497177124,32,1100.7517817020416,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,137.6,1842.2400000000007,13760.0,160.0,,365,1000,954.87,7948.993100000001,95487,993,
33,0,8,0,42.544632,101.60772,28.69483971595764,33,1134.4388422966003,0.0,0.0,0.05,-5.9914646,0.05,0.0,200.0,145.0,1339.0,14500.0,160.0,,709,1000,965.19,4434.2139,96519,979,
34,0,7,0,42.57137,103.659966,28.352404832839966,34,1167.8668639659882,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,144.4,1460.6399999999996,14440.0,160.0,,701,1000,968.24,3342.3024000000005,96824,978,
35,0,13,0,42.495483,105.68078,28.09143352508545,35,1201.0085191726685,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,142.8,1640.1599999999996,14280.0,160.0,,591,1000,961.01,5638.909900000002,96101,971,
36,0,9,0,42.553066,107.67266,27.79819679260254,36,1233.7806253433228,0.0,0.0,0.05,-5.9914646,0.05,0.0,220.0,146.0,1428.0,14600.0,160.0,,610,1000,961.56,4739.2663999999995,96156,974,
