,unp_rank,workertimes,generations,n_rejected,walltimes,grad_norm,param_norm,n_reused,baseline_mu,baseline_sigma,sigma_0,beta_0,sigma_1,beta_1,sigma_2,beta_2,sigma_3,beta_3,sigma_4,beta_4,sigma_5,beta_5,sigma_6,beta_6,sigma_7,beta_7,sigma_8,beta_8,sigma_9,beta_9,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,16,27.04644536972046,0,0,35.01831245422363,42.583435,32.149513,0,0.0,0.0,0.05,-5.8076096,0.05,-5.987118,0.05,-6.0777025,0.05,-6.0035434,0.05,-6.2361035,0.05,-5.9994197,0.05,-5.956949,0.05,-5.9876757,0.05,-6.105468,0.05,-5.9955826,0.05,0.05,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,2,27.536397695541382,1,0,67.58688545227051,41.596382,32.393932,0,0.0,0.0,0.05060049,-5.8076096,0.05000857,-5.987118,0.049696833,-6.0777025,0.049958877,-6.0035434,0.04943398,-6.2361035,0.04997609,-5.9994197,0.051231597,-5.956949,0.050026014,-5.9876757,0.049663134,-6.105468,0.049985744,-5.9955826,0.05,0.05,0.0,240.0,45.0,3875.0,4500.0,180.0,,537,1000,938.07,12284.045099999998,93807,1000,
2,1,27.550902605056763,2,0,100.35535669326782,40.968903,32.884743,0,0.0,0.0,0.05113112,-5.8076096,0.050016847,-5.987118,0.049378272,-6.0777025,0.049923763,-6.0035434,0.048907623,-6.2361035,0.049952958,-5.9994197,0.05209405,-5.956949,0.05004353,-5.9876757,0.049347885,-6.105468,0.04997476,-5.9955826,0.05,0.05,0.0,180.0,57.6,3506.240000000001,5760.0,180.0,,584,1000,934.19,12552.253900000002,93419,1000,
3,5,26.04723572731018,3,0,131.6846477985382,40.400047,33.650864,0,0.0,0.0,0.051612288,-5.8076096,0.050025932,-5.987118,0.049072206,-6.0777025,0.04989311,-6.0035434,0.048450395,-6.2361035,0.04993187,-5.9994197,0.052882858,-5.956949,0.05006292,-5.9876757,0.049032476,-6.105468,0.04996351,-5.9955826,0.05,0.05,0.0,200.0,54.6,4070.84,5460.0,160.0,,554,1000,934.72,14725.461600000002,93472,982,
4,5,28.15740990638733,4,0,165.04800701141357,39.793377,34.697342,0,0.0,0.0,0.052046183,-5.8076096,0.050035726,-5.987118,0.048814777,-6.0777025,0.049864832,-6.0035434,0.048151605,-6.2361035,0.04991104,-5.9994197,0.053763263,-5.956949,0.05007849,-5.9876757,0.04879081,-6.105468,0.049953338,-5.9955826,0.05,0.05,0.0,220.0,59.0,3787.0,5900.0,160.0,,537,1000,929.55,14115.207499999997,92955,985,
5,10,27.434674978256226,5,0,197.6620421409607,39.533627,36.00564,0,0.0,0.0,0.05243708,-5.8076096,0.050047334,-5.987118,0.04851928,-6.0777025,0.04984125,-6.0035434,0.04780354,-6.2361035,0.049890388,-5.9994197,0.054217942,-5.956949,0.050089654,-5.9876757,0.04854785,-6.105468,0.049943585,-5.9955826,0.05,0.05,0.0,220.0,73.8,4629.560000000001,7380.0,160.0,,602,1000,915.68,14001.457599999998,91568,1000,
6,11,26.1822030544281,6,0,229.0730791091919,39.485306,37.550297,0,0.0,0.0,0.052739847,-5.8076096,0.050057955,-5.987118,0.04828786,-6.0777025,0.049821682,-6.0035434,0.047448233,-6.2361035,0.049869753,-5.9994197,0.054296073,-5.956949,0.050097357,-5.9876757,0.048378482,-6.105468,0.049937237,-5.9955826,0.05,0.05,0.0,200.0,76.8,4565.759999999998,7680.0,160.0,,407,1000,926.36,15355.030400000003,92636,983,
7,3,26.160202741622925,7,0,260.6087257862091,39.800312,39.29637,0,0.0,0.0,0.05301387,-5.8076096,0.050066013,-5.987118,0.048099127,-6.0777025,0.04980571,-6.0035434,0.04720272,-6.2361035,0.049853407,-5.9994197,0.053799167,-5.956949,0.050107162,-5.9876757,0.04821626,-6.105468,0.049930487,-5.9955826,0.05,0.05,0.0,220.0,81.4,4706.04,8140.0,180.0,,479,1000,916.49,15791.189899999998,91649,1000,
8,53,26.973960638046265,8,0,292.9189510345459,40.42176,41.210186,0,0.0,0.0,0.053260136,-5.8076096,0.05007468,-5.987118,0.047960896,-6.0777025,0.04978873,-6.0035434,0.04689207,-6.2361035,0.049842723,-5.9994197,0.052974753,-5.956949,0.05011438,-5.9876757,0.048078153,-6.105468,0.04992631,-5.9955826,0.05,0.05,0.0,260.0,104.6,4158.839999999999,10460.0,80.0,,626,1000,908.05,14440.287499999999,90805,811,
9,1,26.889806747436523,9,0,324.5701673030853,41.269234,43.26458,0,0.0,0.0,0.0534709,-5.8076096,0.050085127,-5.987118,0.047911614,-6.0777025,0.049773384,-6.0035434,0.046610415,-6.2361035,0.049837638,-5.9994197,0.05174948,-5.956949,0.05012376,-5.9876757,0.047937196,-6.105468,0.049923286,-5.9955826,0.05,0.05,0.0,200.0,100.6,4059.64,10060.0,200.0,,411,1000,914.93,18269.8851,91493,1000,
10,59,27.23017644882202,10,0,357.11340141296387,41.973972,45.437897,0,0.0,0.0,0.05363512,-5.8076096,0.050093748,-5.987118,0.047830593,-6.0777025,0.049761828,-6.0035434,0.04632095,-6.2361035,0.049831994,-5.9994197,0.050892826,-5.956949,0.05013351,-5.9876757,0.047836363,-6.105468,0.049920145,-5.9955826,0.05,0.05,0.0,200.0,118.6,3546.04,11860.0,120.0,,582,1000,928.45,11975.127500000002,92845,816,
11,14,27.433256149291992,11,0,389.4282341003418,42.769863,47.708576,0,0.0,0.0,0.053755715,-5.8076096,0.0501021,-5.987118,0.047785614,-6.0777025,0.049749963,-6.0035434,0.046102643,-6.2361035,0.04982882,-5.9994197,0.04995067,-5.956949,0.050128493,-5.9876757,0.047741055,-6.105468,0.04991674,-5.9955826,0.05,0.05,0.0,200.0,130.2,2267.9600000000005,13020.0,160.0,,524,1000,918.74,12652.312400000003,91874,1000,
12,4,28.065616846084595,12,0,422.8063027858734,42.85807,50.058475,0,0.0,0.0,0.053898912,-5.8076096,0.05010911,-5.987118,0.047725543,-6.0777025,0.049736775,-6.0035434,0.04585469,-6.2361035,0.049826574,-5.9994197,0.049792055,-5.956949,0.050124466,-5.9876757,0.04765714,-6.105468,0.049913812,-5.9955826,0.05,0.05,0.0,220.0,135.4,2022.84,13540.0,180.0,,531,1000,934.71,10879.7659,93471,1000,
13,4,28.467679738998413,13,0,456.46514916419983,42.979504,52.467777,0,0.0,0.0,0.0540362,-5.8076096,0.050113615,-5.987118,0.047688656,-6.0777025,0.049725253,-6.0035434,0.04560018,-6.2361035,0.04982584,-5.9994197,0.049599625,-5.956949,0.05012205,-5.9876757,0.047583714,-6.105468,0.04991072,-5.9955826,0.05,0.05,0.0,220.0,135.4,2278.84,13540.0,180.0,,724,1000,952.41,6798.061900000001,95241,1000,
