,generations,walltimes,param_norm,n_reused,workertimes,grad_norm,n_rejected,unp_rank,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,0,34.50555753707886,32.149513,0,26.592201948165894,42.583435,0,16,0.0,0.0,0.05,-5.7444158,0.05,0.05,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,1,67.51850080490112,32.39566,0,27.99035406112671,42.071945,0,2,0.0,0.0,0.05056066,-5.7444158,0.05,0.05,0.0,220.0,43.8,3821.5600000000004,4380.0,180.0,,412,1000,941.12,14848.585600000006,94112,1000,
2,2,101.36129331588745,32.89302,0,28.476589918136597,42.025143,0,1,0.0,0.0,0.05064348,-5.7444158,0.05,0.05,0.0,180.0,59.0,3771.0,5900.0,180.0,,449,1000,942.73,12519.677100000004,94273,1000,
3,3,132.98275804519653,33.67547,0,26.425167083740234,41.945732,0,5,0.0,0.0,0.050720286,-5.7444158,0.05,0.05,0.0,180.0,51.4,3786.04,5140.0,160.0,,509,1000,935.05,13763.327499999996,93505,987,
4,4,166.335045337677,34.75263,0,28.13928532600403,41.152355,0,5,0.0,0.0,0.051652398,-5.7444158,0.05,0.05,0.0,180.0,63.6,3699.0400000000004,6360.0,160.0,,625,1000,928.62,12209.4756,92862,985,
5,5,199.2886734008789,36.105774,0,27.699293851852417,40.795765,0,5,0.0,0.0,0.052182186,-5.7444158,0.05,0.05,0.0,220.0,71.0,4291.0,7100.0,160.0,,462,1000,925.73,13609.837099999997,92573,1000,
6,6,231.65237641334534,37.706844,0,27.155940532684326,40.58714,0,9,0.0,0.0,0.052451245,-5.7444158,0.05,0.05,0.0,220.0,75.0,4363.0,7500.0,160.0,,535,1000,912.34,16351.484400000001,91234,979,
7,7,263.25078797340393,39.51952,0,26.456988096237183,40.423306,0,9,0.0,0.0,0.052600686,-5.7444158,0.05,0.05,0.0,200.0,86.2,4517.56,8620.0,160.0,,458,1000,920.56,17259.2264,92056,998,
8,8,295.76540994644165,41.503326,0,27.259492874145508,40.132233,0,7,0.0,0.0,0.053002518,-5.7444158,0.05,0.05,0.0,220.0,100.8,4143.36,10080.0,160.0,,566,1000,929.25,11988.4475,92925,977,
9,9,328.0989303588867,43.619884,0,27.106753826141357,39.17475,0,6,0.0,0.0,0.05426733,-5.7444158,0.05,0.05,0.0,200.0,99.2,4631.360000000001,9920.0,160.0,,463,1000,932.57,14335.725100000003,93257,978,
10,10,360.6026613712311,45.83579,0,27.30755352973938,38.1894,0,8,0.0,0.0,0.055722617,-5.7444158,0.05,0.05,0.0,200.0,113.4,3832.4399999999996,11340.0,160.0,,406,1000,927.64,15048.5704,92764,973,
11,11,394.23135447502136,48.117348,0,28.279242038726807,37.58897,0,14,0.0,0.0,0.05661375,-5.7444158,0.05,0.05,0.0,220.0,124.0,3056.0,12400.0,160.0,,493,1000,934.69,11737.2939,93469,989,
12,12,426.78518438339233,50.43592,0,27.361836194992065,37.166183,0,8,0.0,0.0,0.057282615,-5.7444158,0.05,0.05,0.0,220.0,128.8,3026.56,12880.0,160.0,,422,1000,945.67,9959.601100000002,94567,986,
13,13,460.30273818969727,52.768066,0,28.346076488494873,36.740913,0,10,0.0,0.0,0.057919867,-5.7444158,0.05,0.05,0.0,220.0,135.4,2262.84,13540.0,160.0,,456,1000,945.37,9291.873099999999,94537,974,
14,14,493.4485685825348,55.09712,0,27.97213339805603,36.583515,0,6,0.0,0.0,0.058115393,-5.7444158,0.05,0.05,0.0,200.0,128.2,2944.7599999999993,12820.0,160.0,,401,1000,949.22,8956.6916,94922,983,
