,generations,walltimes,n_reused,unp_rank,workertimes,n_rejected,param_norm,grad_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,0,34.57065296173096,0,16,26.844627857208252,0,32.119095,2.1294777,0.0,0.0,0.05,-5.9914646,1.0,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,1,66.97252058982849,0,3,27.53982138633728,0,32.310562,2.126927,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,43.6,3747.0400000000013,4360.0,180.0,,410,1000,935.75,14616.6875,93575,1000,
2,2,100.01968836784363,0,3,28.003798961639404,0,32.73417,2.128917,0.0,0.0,0.05,-5.9914646,1.0,0.0,180.0,59.0,3579.0,5900.0,160.0,,541,1000,939.21,12784.665899999998,93921,979,
3,3,131.5813226699829,0,5,26.47332501411438,0,33.429615,2.128647,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,56.2,4245.56,5620.0,160.0,,574,1000,932.53,13271.9491,93253,982,
4,4,163.47101640701294,0,6,26.77908706665039,0,34.41257,2.1276007,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,65.2,3748.96,6520.0,160.0,,384,1000,924.83,15788.161100000001,92483,985,
5,5,195.39990615844727,0,4,26.819925546646118,0,35.675262,2.1286144,0.0,0.0,0.05,-5.9914646,1.0,0.0,200.0,75.2,4216.96,7520.0,160.0,,417,1000,918.69,15874.4739,91869,965,
6,6,227.36438751220703,0,10,26.845301389694214,0,37.192585,2.127868,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,84.8,4760.96,8480.0,160.0,,440,1000,911.96,19270.198399999997,91196,979,
7,7,259.6437883377075,0,7,27.226863622665405,0,38.92516,2.1281016,0.0,0.0,0.05,-5.9914646,1.0,0.0,200.0,90.0,4644.0,9000.0,160.0,,544,1000,938.44,12472.9664,93844,980,
8,8,292.86821365356445,0,8,28.06924295425415,0,40.841213,2.1287305,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,106.0,4132.0,10600.0,160.0,,609,1000,937.1,10489.370000000003,93710,977,
9,9,325.7467041015625,0,6,27.927693605422974,0,42.902744,2.127572,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,107.0,4283.0,10700.0,160.0,,634,1000,948.61,8430.9779,94861,975,
10,10,359.47521138191223,0,12,28.69581389427185,0,45.076035,2.1290286,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,129.6,3179.839999999999,12960.0,160.0,,608,1000,940.83,9068.9611,94083,990,
11,11,393.0017809867859,0,10,28.263181686401367,0,47.329895,2.1289506,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,135.6,2340.6399999999994,13560.0,160.0,,623,1000,950.83,7560.7411,95083,988,
12,12,426.7331690788269,0,7,28.72003436088562,0,49.63881,2.1273167,0.0,0.0,0.05,-5.9914646,1.0,0.0,200.0,137.8,2031.16,13780.0,160.0,,652,1000,955.89,6753.6179,95589,988,
