,grad_norm,n_rejected,unp_rank,param_norm,workertimes,generations,n_reused,walltimes,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,2.1294777,0,16,32.119095,27.02436065673828,0,0,35.63030648231506,0.0,0.0,0.050026566,-5.9904022216796875,0.05,-5.991464614868164,0.05,-5.991464614868164,0.05,-5.991464614868164,0.0,5.781332e-06,1.0,1.0,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,2.1270928,0,3,32.31061,27.296873569488525,1,0,68.80624103546143,0.0,0.0,0.050026566,-5.9904022216796875,0.04999939,-5.991488933563232,0.050001334,-5.991411209106445,0.049999986,-5.991465091705322,1.4455527e-07,1.0998342e-05,1.0,1.0,0.0,220.0,43.6,3803.0400000000013,4360.0,180.0,,410,1000,935.32,15023.457599999998,93532,1000,
2,2.1279376,0,2,32.734165,28.032896757125854,2,0,102.88274478912354,0.0,0.0,0.050026566,-5.9904022216796875,0.04999883,-5.991511344909668,0.050002538,-5.991363048553467,0.049999975,-5.9914655685424805,2.7495892e-07,1.5713444e-05,1.0,1.0,0.0,200.0,58.8,3782.5600000000004,5880.0,180.0,,586,1000,941.76,11665.042399999998,94176,1000,
3,2.129556,0,5,33.430355,26.35183310508728,3,0,135.18009686470032,0.0,0.0,0.050026566,-5.9904022216796875,0.049998317,-5.991531848907471,0.05000362,-5.99131965637207,0.049999963,-5.991466045379639,3.9283617e-07,1.9978539e-05,1.0,1.0,0.0,220.0,56.0,4424.0,5600.0,160.0,,563,1000,942.34,12685.204399999997,94234,987,
4,2.127216,0,6,34.41338,27.688059091567993,4,0,168.843519449234,0.0,0.0,0.050026566,-5.9904022216796875,0.04999785,-5.991550445556641,0.050004587,-5.991281032562256,0.049999952,-5.991466522216797,4.994653e-07,2.383808e-05,1.0,1.0,0.0,200.0,62.4,3714.24,6240.0,160.0,,640,1000,922.62,13664.895599999996,92262,1000,
5,2.1293633,0,7,35.677044,27.348170280456543,5,0,202.27028942108154,0.0,0.0,0.05002656,-5.990402698516846,0.049997438,-5.991567134857178,0.050005432,-5.991247177124023,0.049999952,-5.991466522216797,5.959537e-07,2.7333805e-05,1.0,1.0,0.0,220.0,72.2,4343.16,7220.0,160.0,,639,1000,924.8,12198.460000000003,92480,978,
6,2.1283622,0,7,37.193783,26.617618322372437,6,0,235.030437707901,0.0,0.0,0.05002656,-5.990402698516846,0.049997076,-5.991581439971924,0.050006233,-5.991215229034424,0.049999937,-5.991466999053955,6.833456e-07,3.0501487e-05,1.0,1.0,0.0,220.0,79.0,4347.0,7900.0,160.0,,402,1000,917.9,16953.25,91790,979,
7,2.128665,0,5,38.929737,26.85055375099182,7,0,267.80192971229553,0.0,0.0,0.05002656,-5.990402698516846,0.049996756,-5.991594314575195,0.05000695,-5.991186618804932,0.049999926,-5.991467475891113,7.6253605e-07,3.3374887e-05,1.0,1.0,0.0,200.0,90.6,4283.64,9060.0,160.0,,620,1000,920.26,13255.892400000002,92026,987,
8,2.127672,0,6,40.84833,26.92007088661194,8,0,300.6832687854767,0.0,0.0,0.05002656,-5.990402698516846,0.04999647,-5.991605758666992,0.050007578,-5.991161346435547,0.049999926,-5.991467475891113,8.343683e-07,3.5983237e-05,1.0,1.0,0.0,220.0,99.8,3811.9599999999996,9980.0,160.0,,455,1000,903.59,16649.5819,90359,980,
9,2.1290467,0,8,42.91085,25.197495937347412,9,0,332.0867440700531,0.0,0.0,0.05002656,-5.990402698516846,0.04999623,-5.991615295410156,0.05000819,-5.9911370277404785,0.049999926,-5.991467475891113,8.9957894e-07,3.8353937e-05,1.0,1.0,0.0,200.0,111.2,4106.56,11120.0,160.0,,384,1000,918.54,19155.5484,91854,978,
